v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#net_capacity#wkt_srid_4326
16745#1.07763527433642#49.4472773517602#substation#225000;20000##'Poste Électrique de l''Hôtel Dieu'#ERDF######SRID=4326;POINT(1.07763527433642 49.4472773517602)
35292#18.3698332271036#59.3111616074769#substation#220000##Ställverk Ekbacken#######SRID=4326;POINT(18.3698332271036 59.3111616074769)
36392#4.50860715496218#51.1177208752652#substation#380000;150000##Elia Lint#Elia######SRID=4326;POINT(4.50860715496218 51.1177208752652)
36713#9.91718969909551#52.2781719558073#substation#380000;110000#50#Algermissen#TenneT######SRID=4326;POINT(9.91718969909551 52.2781719558073)
36830#6.65671831878072#51.3795300647971#substation#220000;110000#50#Uerdingen#######SRID=4326;POINT(6.65671831878072 51.3795300647971)
36984#-3.67068420045072#40.5186540268937#substation#400000#50#Subestación eléctrica de Fuencarral (Iberdrola)#Red Eléctrica de España######SRID=4326;POINT(-3.67068420045072 40.5186540268937)
37110#25.4245271964537#54.8562585628503#substation###330kV skirstymo pastotė#######SRID=4326;POINT(25.4245271964537 54.8562585628503)
37327#7.13690143578002#50.6428910425134#substation#380000;110000#50#Station Ließem#Amprion######SRID=4326;POINT(7.13690143578002 50.6428910425134)
37948#19.0542555594916#50.2643979742284#substation#220000;110000##Stacja elektroenergetyczna "Katowice" 220/110 kV#PSE Operator#KAT#####SRID=4326;POINT(19.0542555594916 50.2643979742284)
38840#11.7273547980479#52.5689471991163#substation#380000;110000#50#Stendal/West#50Hertz Transmission GmbH#StW#####SRID=4326;POINT(11.7273547980479 52.5689471991163)
39122#23.9770534044152#61.496646580399#substation#400000;110000###Fingrid Oy######SRID=4326;POINT(23.9770534044152 61.496646580399)
39205#0.180399774446481#49.4952508139232#substation#225000;90000;20000##Poste Électrique du Pont VII#RTE######SRID=4326;POINT(0.180399774446481 49.4952508139232)
39256#5.52951460667978#52.5774906824146#plant###Maxima-centrale#GDF SUEZ Energie Nederland######SRID=4326;POINT(5.52951460667978 52.5774906824146)
47070#7.03169582777078#51.6094376789953#substation#220000##Station Bellendorf#RWE######SRID=4326;POINT(7.03169582777078 51.6094376789953)
47265#13.3998299483313#53.7944487355872#substation#220000#50#Umspannwerk Windpark Iven#50Hertz Transmission######SRID=4326;POINT(13.3998299483313 53.7944487355872)
47366#7.99392021394725#51.8230845944641#substation#380000;110000#50#Station Enniger#Amprion######SRID=4326;POINT(7.99392021394725 51.8230845944641)
47529#25.8475565932993#62.3590093105834#sub_station##########SRID=4326;POINT(25.8475565932993 62.3590093105834)
47611#-5.85651095562058#37.3864367667683#substation#220000;66000#50##Red Eléctrica de España######SRID=4326;POINT(-5.85651095562058 37.3864367667683)
49012#17.6601792666299#48.3366001391207#substation#400000;220000;110000##Križovany#######SRID=4326;POINT(17.6601792666299 48.3366001391207)
