l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326
291#3029#4260#132000#6######4918.4212115803#####''#SRID=4326;LINESTRING(-2.22342941237165 57.1473733480232,-2.15399383116485 57.1311487471527)
519#3961#8482##6###West Weybridge-?###4846.48262957854#####''#SRID=4326;LINESTRING(-0.480720683283864 51.390935837942,-0.4854676356754 51.3522730806872)
548#3931#4018#132000#6######35270.8753481434#####''#SRID=4326;LINESTRING(-1.19035546150245 51.711159743805,-0.776792857049714 51.6223329000921)
566#4193#4707#400000#6#4#50#National Grid East Claydon-?###35234.6878234576#####''#SRID=4326;LINESTRING(-0.656055893135692 51.6648458497597,-0.907215974380852 51.926401469656)
583#5110#24081#132000#6##50###PAA#11017.7382827564#####''#SRID=4326;LINESTRING(0.874095602118018 51.0621212509657,0.866982257498675 51.1450477934359)
750#4025#4026#132000#6##50####44.7641013764591#####''#SRID=4326;LINESTRING(-0.163076792931227 51.1148154431967,-0.162676249485096 51.1173198578792)
766#3909#3973#400000#6###National Grid Chilling-Botley Wood#National Grid#4YE#7451.48419454651#####''#SRID=4326;LINESTRING(-1.23263237096317 50.8847214734854,-1.28534847510223 50.8356945662109)
812#24009#24013#275000#6###Brimsdown-?###6909.33950537543#####''#SRID=4326;LINESTRING(-0.0476844430960564 51.6044941153273,-0.0232326188121726 51.6633691162501)
813#24009#24013#275000#6###National Grid Brimsdown-?###7137.8376357641#####''#SRID=4326;LINESTRING(-0.0476844430960564 51.6044941153273,-0.0232326188121726 51.6633691162501)
823#24001#24015#132000#6###Elstree-?###6212.19222922586#####''#SRID=4326;LINESTRING(-0.343460978858813 51.6608812381784,-0.382628998982101 51.6162140314235)
828#3945#24014#132000#6#1##Iver-?###7250.99000989517#####''#SRID=4326;LINESTRING(-0.505047699576116 51.4801910176112,-0.49772937231458 51.5427230829924)
835#24014#4193#400000#6#4#50#National Grid Iver-Amersham###20142.9663956267#####''#SRID=4326;LINESTRING(-0.49772937231458 51.5427230829924,-0.656055893135692 51.6648458497597)
838#24001#3951#275000#6#2#50#National Grid Elstree-Watford###5282.46537741035#####''#SRID=4326;LINESTRING(-0.343460978858813 51.6608812381784,-0.404491676212609 51.642676308684)
840#3959#24001#275000#6###National Grid Elstree-Mill Hill###6298.10631782315#####''#SRID=4326;LINESTRING(-0.269206954483091 51.6341291767467,-0.343460978858813 51.6608812381784)
841#3967#3976#275000#6###National Grid Beddington-Chessington###17624.4934881086#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.322943484201058 51.3437350001023)
845#5840#4098#400000#6#4#50#National Grid Bramley-West Weybridge###49195.2232721929#####''#SRID=4326;LINESTRING(-0.480073493335928 51.3526209992658,-1.07733941605961 51.3363511403009)
849#3967#3969########454.170257542956#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.123063626803019 51.3789245325291)
882#3975#3979#######LPC#2375.75898816624#####''#SRID=4326;LINESTRING(-1.06618764806563 50.8649253866533,-1.07880790162928 50.8449283249543)
910#5026#5719#132000#6###Wymondley-Stevenage###3201.72855910542#####''#SRID=4326;LINESTRING(-0.223308119149555 51.9052371513503,-0.244459954869231 51.9267920604265)
912#3988#3998#132000#6#####PT#6552.64718455242#####''#SRID=4326;LINESTRING(-1.47185918055459 50.9497751516404,-1.39356848139456 50.9702329182081)
926#3993#3994#132000#6######944.774678541859#####''#SRID=4326;LINESTRING(-1.37427458683843 50.8385634385593,-1.37914540059751 50.8466970034913)
938#24035#24332#400000#6##50#Drax to Eggborough Line#National Grid#4VJ#8212.63316561091#####''#SRID=4326;LINESTRING(-1.12543121543147 53.7110986632473,-0.998804588641847 53.737912781357)
939#4011#24332#400000#6##50#Drax to Thornton Line#National Grid#4VC#22406.408530746#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-0.998804588641847 53.737912781357)
943#23903#24019#132000#6#1#50####1855.31685141746#####''#SRID=4326;LINESTRING(-1.5232678006825 53.7800743262611,-1.49541182747251 53.7776238946203)
949#8917#24021#132000#6######847.610110273716#####''#SRID=4326;LINESTRING(-1.60120132646229 53.8141525465376,-1.59643102938653 53.8056341183326)
961#4011#4616#400000#6#4#50####16577.6844953625#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-1.0230329505594 53.956757048653)
973#4023#4024#132000#6##50####6725.33419501174#####''#SRID=4326;LINESTRING(-0.131409239138259 51.1776785727853,-0.217681888995397 51.2018647883212)
987#4060#9595#275000#6#4#50####10780.999791952#####''#SRID=4326;LINESTRING(-2.84827332087387 53.4691230739065,-2.73838525770572 53.421173967842)
989#4028#24025#275000#6######9237.55404600185#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.30886774402384 55.9023361669112)
996#5996#4009#132000#6#1#50####16523.9136807244#####''#SRID=4326;LINESTRING(-1.53754529051568 53.7327040469863,-1.66427289096474 53.8212120152353)
1123#3916#3974#400000####National Grid Chilling-Fawley#National Grid##2809.2587068602#####''#SRID=4326;LINESTRING(-1.32874532228167 50.8216132425713,-1.29093705238972 50.834882029367)
1170#4028#8827#275000#6######1348.14659837772#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.17863338646695 55.9031356255648)
1259#2501#5774########1976.34241699335#####''#SRID=4326;LINESTRING(-2.33503206085188 53.3155601641047,-2.32130602788936 53.3314339272558)
1301#7915#8739#132000#6######24272.365392997#####''#SRID=4326;LINESTRING(-3.29420330933565 56.3398564522447,-3.04484536722379 56.4740494518657)
1313#4156#25946########2258.65282039351#####''#SRID=4326;LINESTRING(1.38647456077845 52.5569955566073,1.38951085203796 52.5767432504329)
1344#4165#24161#132000#6###Walpole-Kings Lynn###12374.1115078279#####''#SRID=4326;LINESTRING(0.199378613236877 52.7267571676853,0.378266141516941 52.7265297947089)
1451#24043#24263#132000#6##50####5502.170574562#####''#SRID=4326;LINESTRING(-2.97102172912182 51.5482792526748,-2.9086255741743 51.5648951592168)
1452#24043#24263#275000#6##50####5348.15558918514#####''#SRID=4326;LINESTRING(-2.97102172912182 51.5482792526748,-2.9086255741743 51.5648951592168)
1492#9009#24334#400000#3#2##Hams Hall-Drakelow###109.821621760911#####''#SRID=4326;LINESTRING(-1.71459897669181 52.5345660696706,-1.71367590062186 52.5315541606554)
1502#5204#6338#275000#6###Lambhill - Port Dundas###3849.67926243043#####''#SRID=4326;LINESTRING(-4.25503265997015 55.8736933530744,-4.25666670444216 55.9030367495306)
1515#5075#23937#132000#6#2##Iron Acton-Yate###5185.02244427433#####''#SRID=4326;LINESTRING(-2.41248134731329 51.5526980815918,-2.48088622270349 51.5694622307795)
1545#8534#8703#33000#######1147.4125618251#####''#SRID=4326;LINESTRING(-4.41234296254997 58.0294530350968,-4.39309876984536 58.0305588741591)
1608#7728#24110#132000#6##50####761.212433690222#####''#SRID=4326;LINESTRING(-1.59933268419092 52.3947596851028,-1.60508191235723 52.4010625260802)
1630#6811#9002#132000#6######4640.05539617079#####''#SRID=4326;LINESTRING(-0.85706919343031 51.4025769795872,-0.889978514041014 51.4363273594096)
1653#24327#24334#132000#6######263.005181494561#####''#SRID=4326;LINESTRING(-1.70856296623341 52.5274737152332,-1.71367590062186 52.5315541606554)
1654#24327#24334#132000#6######293.066133867505#####''#SRID=4326;LINESTRING(-1.70856296623341 52.5274737152332,-1.71367590062186 52.5315541606554)
1743#24005#24096#400000#6#4#50#National Grid Swansea North-Pembroke###84535.8351153094#####''#SRID=4326;LINESTRING(-4.99136323127204 51.6838020949111,-3.95665905304431 51.6893485202412)
1755#4246#4764########172.817657296856#####''#SRID=4326;LINESTRING(-4.95431560160644 56.7147315738692,-4.95789444335092 56.7127974502351)
1764#4099#5577#132000#3######36556.1553953598#####''#SRID=4326;LINESTRING(-4.01132554520403 56.7070866413452,-4.32964027276183 56.477081474452)
1783#24066#24279#132000#6######24643.2833916878#####''#SRID=4326;LINESTRING(-4.37718243990378 55.9300004668077,-4.70862578334268 56.0234444465166)
1874#4950#8684#132000#6######15244.8416627425#####''#SRID=4326;LINESTRING(-3.51181251607368 58.5740284321724,-3.42457116308506 58.4461424319074)
1911#3835#5293#275000#6######2058.4022731884#####''#SRID=4326;LINESTRING(-2.94523455216303 57.522346420135,-2.93849479075866 57.5403668939523)
1914#5293#8743#132000#6######16884.4276103186#####''#SRID=4326;LINESTRING(-2.93849479075866 57.5403668939523,-2.81325076393458 57.6724474139521)
1923#8711#8713#132000#6######1980.38734856468#####''#SRID=4326;LINESTRING(-1.84876245420659 57.5740575640474,-1.88131607590962 57.5663665457868)
1937#5384#3835#275000#6######50681.401342121#####''#SRID=4326;LINESTRING(-2.38090886563472 57.2188490088202,-2.94523455216303 57.522346420135)
1944#4260#5548#132000#6######6641.10680120367#####''#SRID=4326;LINESTRING(-2.15399383116485 57.1311487471527,-2.09164265290212 57.108457626382)
2019#8836#24158#132000#3######14729.31823088#####''#SRID=4326;LINESTRING(-4.70701570206967 55.2502304028589,-4.68523026548784 55.3422118776904)
2121#7395#24214#275000#6#2#####15955.0852158899#####''#SRID=4326;LINESTRING(-3.94579948974449 55.8243998324877,-3.92881324922441 55.7644220482936)
2130#7395#8824#275000#6######3258.83748842964#####''#SRID=4326;LINESTRING(-3.94579948974449 55.8243998324877,-3.99294539840685 55.8285743645883)
2138#8808#24066#132000#6######2008.01486808823#####''#SRID=4326;LINESTRING(-4.35239400536252 55.916889078691,-4.37718243990378 55.9300004668077)
2152#4657#4662########16352.5609975001#####''#SRID=4326;LINESTRING(-4.48290100143023 55.9042271629495,-4.708816039064 55.9159722579487)
2160#8815#24157#275000#6###SP Transmission Strathaven-?###5466.80674565461#####''#SRID=4326;LINESTRING(-4.16322953909369 55.7408588178308,-4.08039009043794 55.7525582608137)
2163#4022#24159#132000#6#1##Scottish Power Neilston-?###12446.5098229536#####''#SRID=4326;LINESTRING(-4.36472472099401 55.8211957033121,-4.47710977494643 55.8091080553372)
2166#3834#8822#275000#6######5107.11392758462#####''#SRID=4326;LINESTRING(-4.19396936616522 55.7858962727872,-4.11637436202819 55.7912912552752)
2170#3834#26506##6######6497.23982895202#####''#SRID=4326;LINESTRING(-4.19396936616522 55.7858962727872,-4.13039662533165 55.76385240679)
2179#6277#4668#132000#6######13692.8874058134#####''#SRID=4326;LINESTRING(-4.63817085840064 55.5841073485004,-4.68074667703962 55.6652389903535)
2183#5796#24156#275000#6###Scottish Power Colyton-Ayr#SP Transmission##1233.24676323196#####''#SRID=4326;LINESTRING(-4.44567939031151 55.4563270969327,-4.43074023806663 55.4471041489452)
2225#7670#8834#132000#6######135.640700232011#####''#SRID=4326;LINESTRING(-2.77138907307363 55.6103279046583,-2.76941285585103 55.608011127711)
2230#4900#4901#132000#6##50####7851.14098809323#####''#SRID=4326;LINESTRING(-2.57355027314052 55.9773396617911,-2.47329766684483 55.9562938531797)
54528#24031#26327########34.0920962976805#####''#SRID=4326;LINESTRING(-5.70968095860831 57.2810316659712,-5.70832442016912 57.2815407236401)
2242#5287#4606#132000#6#1#50####7486.31551208708#####''#SRID=4326;LINESTRING(-3.38959665260709 56.0422218886592,-3.44949577428993 56.0896104850649)
2257#4603#4604#132000#6#1#50####1280.26846188788#####''#SRID=4326;LINESTRING(-3.2931232726799 56.1059605189765,-3.27119872636338 56.1112763976911)
2258#4603#4606#132000#6#1#50####10312.2774712944#####''#SRID=4326;LINESTRING(-3.2931232726799 56.1059605189765,-3.44949577428993 56.0896104850649)
2267#8863#24217#132000#6######29899.4203246307#####''#SRID=4326;LINESTRING(-4.49870649366788 54.9532646137378,-4.18580039786257 55.0993873530378)
2275#7706#8862#132000#3######6532.56993608142#####''#SRID=4326;LINESTRING(-3.28498313463472 55.0660208400831,-3.22970065964152 55.0164245108931)
2298#4570#4225#400000#6#2##National Grid Hutton-Harker#National Grid##81389.6783946328#####''#SRID=4326;LINESTRING(-2.96292607750182 54.9420578100294,-2.67150278900924 54.2974310554784)
2313#4570#7407#132000#6###Harker-?###5320.2933056225#####''#SRID=4326;LINESTRING(-2.96292607750182 54.9420578100294,-2.95921571443368 54.8993041270924)
2317#4570#6162#132000#6#1#50#Harker-Spadeadam###25563.0395299716#####''#SRID=4326;LINESTRING(-2.96292607750182 54.9420578100294,-2.60679212306887 55.0261983289241)
2422#4612#24287#24000#6#2#####534.870970082314#####''#SRID=4326;LINESTRING(-1.52136495309508 55.2043077214335,-1.53289045427673 55.2000610759656)
2423#4612#24287#24000#6#2#####555.117700699307#####''#SRID=4326;LINESTRING(-1.52136495309508 55.2043077214335,-1.53289045427673 55.2000610759656)
2445#4688#5909#132000#6#1#50####492.577852392496#####''#SRID=4326;LINESTRING(-1.74291378435506 54.9777596278071,-1.73252457264742 54.9743386083869)
2528#5218#24063#275000#6######569.217005617871#####''#SRID=4326;LINESTRING(-1.13187215509512 54.5669532079113,-1.12757522283075 54.5756400046694)
2572#5242#10226########17610.2145124114#####''#SRID=4326;LINESTRING(-2.97818235382483 56.5211143795984,-2.86539721350028 56.6544221342048)
2577#4575#5242#132000#6######6487.51196460562#####''#SRID=4326;LINESTRING(-2.9247169346789 56.4753903097788,-2.97818235382483 56.5211143795984)
2607#4625#24036#400000#6######36539.7652766936#####''#SRID=4326;LINESTRING(-1.21671636136153 52.5977145017069,-1.25520325770883 52.8656418295799)
2686#5465#24003#132000#6#1#50####10356.6887268929#####''#SRID=4326;LINESTRING(-2.74497827854766 51.4889291239818,-2.67030224730021 51.5393695206292)
2924#4650#24109#132000;33000#6##50#Kemsley-?##PD#7869.01015205815#####''#SRID=4326;LINESTRING(0.741449444985196 51.3681977636489,0.749558283388768 51.4367430495404)
2992#4705#24079#132000#6#1#####29579.1577674559#####''#SRID=4326;LINESTRING(-1.24425298222359 53.0874703125725,-0.867293326565401 53.0771872856834)
3028#4712#4714#132000#6##50####5712.11589167703#####''#SRID=4326;LINESTRING(-2.19429334545949 52.5055715342349,-2.20901502364577 52.5564027727173)
3042#4715#4718#400000#6#4#50#National Grid Walham-Rassau###26089.0483085515#####''#SRID=4326;LINESTRING(-2.25341296170183 51.8793757357803,-2.60443670349323 51.8881714672375)
3074#4538#24086#132000#6######681.633586916493#####''#SRID=4326;LINESTRING(-2.1676318631717 52.9239256242323,-2.16775341405193 52.9312679349685)
3100#4605#4769########8345.50585651005#####''#SRID=4326;LINESTRING(-1.25377983071728 50.7100613665701,-1.1580630194752 50.7243077036483)
3178#6959#24090########17010.0415894348#####''#SRID=4326;LINESTRING(-2.54975539256006 53.2381084176698,-2.48444835946026 53.1027684812045)
3185#4786#8216#132000#6######2267.53982055634#####''#SRID=4326;LINESTRING(-2.01778692324859 52.580565908131,-2.00078869817725 52.5977625282368)
3211#4795#7758########7463.13193738494#####''#SRID=4326;LINESTRING(-1.42294068910259 50.6958440732198,-1.51527322416721 50.6811231189252)
3326#24092#5580#132000#6#1#50####13280.9910152727#####''#SRID=4326;LINESTRING(-2.00209102812485 51.6076686744286,-1.82164198839486 51.5823126025904)
3361#24175#24294#400000#6######5777.94761762314#####''#SRID=4326;LINESTRING(-0.776772073699859 53.3038900324177,-0.805819990650775 53.3621156630434)
3492#5798#8862#132000#6###SP Transmission Gretna-?###12770.0725638561#####''#SRID=4326;LINESTRING(-3.05037424890754 55.0318899690302,-3.22970065964152 55.0164245108931)
3576#25452#23882#33000#3#1#####3758.28904705562#####''#SRID=4326;LINESTRING(-1.38686163198322 53.686850996367,-1.42849534018084 53.6951709546031)
3579#4170#23882#33000#3#1#####3443.77356838659#####''#SRID=4326;LINESTRING(-1.42311847496751 53.673967176645,-1.42849534018084 53.6951709546031)
3688#4557#4952#132000#6######6273.01953744238#####''#SRID=4326;LINESTRING(-0.72782786708986 52.243208204498,-0.6854270898071 52.2918761728244)
3735#5208#24004#400000#6##50#National Grid Grain-Kemsley#National Grid#4TL#641.329473605372#####''#SRID=4326;LINESTRING(0.705415701298144 51.4358271332574,0.713339862438559 51.445516790523)
3793#4303#4974#400000#3#2#####54.5172253274257#####''#SRID=4326;LINESTRING(-0.750534622382865 53.5947838796924,-0.755995524900173 53.5980945577232)
3846#4993#7197#33000#6#1#####165.805659225674#####''#SRID=4326;LINESTRING(-0.0147731041589452 52.966336314296,-0.0142103893069734 52.9691647766593)
3931#3951#4194#132000#6#1#50#Watford-?###18421.3321094272#####''#SRID=4326;LINESTRING(-0.404491676212609 51.642676308684,-0.58969537839065 51.7219843807301)
3959#3943#3944#132000####Warley-?###5160.73038341153#####''#SRID=4326;LINESTRING(0.300710012413574 51.5527236908317,0.235725390957886 51.5441500715684)
3992#5050#5051#275000#6###West Thurrock-?###888.643747349062#####''#SRID=4326;LINESTRING(0.272226475506343 51.4737251321353,0.288293706556615 51.4711345838526)
4007#5065#24117#132000#6######341.00107709775#####''#SRID=4326;LINESTRING(0.380255330522937 51.4616121976216,0.388367711056303 51.4569726745803)
4187#24118#4098#400000#6#2#50#National Grid Bramley-Melksham#National Grid##81489.0079843376#####''#SRID=4326;LINESTRING(-2.15066840853946 51.3935410632712,-1.07733941605961 51.3363511403009)
4247#5124#24161#33000#3#1#50####2369.32116457742#####''#SRID=4326;LINESTRING(0.402858278524227 52.7315327935307,0.378266141516941 52.7265297947089)
4340#5091#6971########11506.3360973079#####''#SRID=4326;LINESTRING(0.70251051815654 52.642635783196,0.8157170474813 52.5759388803306)
4678#5191#5192#132000#6######18519.5763114937#####''#SRID=4326;LINESTRING(-4.36214319216863 52.0058290106046,-4.35699858710145 51.8477981692295)
4739#4074#24040#132000#6#1####PVB#1687.15160610214#####''#SRID=4326;LINESTRING(1.30800139961221 52.6077477044514,1.32099182530334 52.6219693219464)
