l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326
6#3940#9680#400000#######5559.5541934895#####''#SRID=4326;LINESTRING(0.000970385323256714 51.5195030529697,-0.043817391282034 51.5592852615349)
565#4557#24333#400000#6###National Grid Sundon-?###39479.6503845627#####''#SRID=4326;LINESTRING(-0.72782786708986 52.243208204498,-0.501099082133426 51.934279005132)
775#3927#24013#275000#6###National Grid Waltham Cross-Brimsdown###5783.84769123824#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,-0.0232326188121726 51.6633691162501)
785#3916#24007#400000#6###Fawley-Nursling#National Grid#YD#20332.8207014998#####''#SRID=4326;LINESTRING(-1.32874532228167 50.8216132425713,-1.48721656378409 50.9417955863639)
774#3927#24013#275000#6###National Grid Waltham Cross-Brimsdown###5775.69719816859#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,-0.0232326188121726 51.6633691162501)
566#4193#4707#400000#6#4#50#National Grid East Claydon-?###35234.6878234576#####''#SRID=4326;LINESTRING(-0.656055893135692 51.6648458497597,-0.907215974380852 51.926401469656)
713#3967#3968#275000#6###National Grid Beddington-Wimbledon###8388.27367420137#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.188300691769961 51.430753835359)
729#3920#4651#400000#6#2##National Grid Northfleet East-Singlewell#National Grid##5770.8852815201#####''#SRID=4326;LINESTRING(0.329857077621904 51.4283141894106,0.392930074808078 51.4048360718662)
987#4060#9595#275000#6#4#50####10780.999791952#####''#SRID=4326;LINESTRING(-2.84827332087387 53.4691230739065,-2.73838525770572 53.421173967842)
755#4045#4665#400000#6###National Grid Bolney-Ninfield###51279.6897660597#####''#SRID=4326;LINESTRING(0.44839094368361 50.8812037588621,-0.235247120063606 50.9749906413837)
766#3909#3973#400000#6###National Grid Chilling-Botley Wood#National Grid#4YE#7451.48419454651#####''#SRID=4326;LINESTRING(-1.23263237096317 50.8847214734854,-1.28534847510223 50.8356945662109)
773#3927#24068#400000#6###National Grid Rye House-Waltham Cross###5172.26850447208#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,0.00995531836523643 51.7587570463553)
812#24009#24013#275000#6###Brimsdown-?###6909.33950537543#####''#SRID=4326;LINESTRING(-0.0476844430960564 51.6044941153273,-0.0232326188121726 51.6633691162501)
813#24009#24013#275000#6###National Grid Brimsdown-?###7137.8376357641#####''#SRID=4326;LINESTRING(-0.0476844430960564 51.6044941153273,-0.0232326188121726 51.6633691162501)
835#24014#4193#400000#6#4#50#National Grid Iver-Amersham###20142.9663956267#####''#SRID=4326;LINESTRING(-0.49772937231458 51.5427230829924,-0.656055893135692 51.6648458497597)
838#24001#3951#275000#6#2#50#National Grid Elstree-Watford###5282.46537741035#####''#SRID=4326;LINESTRING(-0.343460978858813 51.6608812381784,-0.404491676212609 51.642676308684)
840#3959#24001#275000#6###National Grid Elstree-Mill Hill###6298.10631782315#####''#SRID=4326;LINESTRING(-0.269206954483091 51.6341291767467,-0.343460978858813 51.6608812381784)
841#3967#3976#275000#6###National Grid Beddington-Chessington###17624.4934881086#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.322943484201058 51.3437350001023)
22249#4079#24025#275000;275000#6######2782.19079028384#####''#SRID=4326;LINESTRING(-3.30491711033787 55.9284578965621,-3.30886774402384 55.9023361669112)
845#5840#4098#400000#6#4#50#National Grid Bramley-West Weybridge###49195.2232721929#####''#SRID=4326;LINESTRING(-0.480073493335928 51.3526209992658,-1.07733941605961 51.3363511403009)
936#24035#24077#400000#6######10174.3321277498#####''#SRID=4326;LINESTRING(-1.12543121543147 53.7110986632473,-1.26646550613933 53.7563297810902)
938#24035#24332#400000#6##50#Drax to Eggborough Line#National Grid#4VJ#8212.63316561091#####''#SRID=4326;LINESTRING(-1.12543121543147 53.7110986632473,-0.998804588641847 53.737912781357)
939#4011#24332#400000#6##50#Drax to Thornton Line#National Grid#4VC#22406.408530746#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-0.998804588641847 53.737912781357)
940#4011#4110#400000#6##50##National Grid##29527.819428887#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-0.414759782194138 53.8007647672219)
961#4011#4616#400000#6#4#50####16577.6844953625#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-1.0230329505594 53.956757048653)
985#9595#24018#275000#6#4#50####7436.24876916433#####''#SRID=4326;LINESTRING(-2.73838525770572 53.421173967842,-2.68851582215091 53.3707276593449)
1911#3835#5293#275000#6######2058.4022731884#####''#SRID=4326;LINESTRING(-2.94523455216303 57.522346420135,-2.93849479075866 57.5403668939523)
2905#4650#5207#400000#6##50#National Grid Grain-Kemsley#National Grid#4TL#6464.6357917888#####''#SRID=4326;LINESTRING(0.741449444985196 51.3681977636489,0.699910847851587 51.4206074363952)
989#4028#24025#275000#6######9237.55404600185#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.30886774402384 55.9023361669112)
1005#4028#4883#275000#6#2#####8590.52406191714#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.03603844581869 55.9085589105083)
1054#4020#24034#400000#6#4#50#National Grid Exeter-Axminster###36112.2193328995#####''#SRID=4326;LINESTRING(-3.40522446873275 50.7672406556616,-2.92340717371247 50.7868895051052)
1085#3936#24255#275000#6##50####7626.44418167664#####''#SRID=4326;LINESTRING(-2.71629130579622 53.3093650011626,-2.81169782481974 53.2777173812923)
1123#3916#3974#400000####National Grid Chilling-Fawley#National Grid##2809.2587068602#####''#SRID=4326;LINESTRING(-1.32874532228167 50.8216132425713,-1.29093705238972 50.834882029367)
1170#4028#8827#275000#6######1348.14659837772#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.17863338646695 55.9031356255648)
1225#3931#24133#132000#6###?-?###3471.02558014736#####''#SRID=4326;LINESTRING(-1.19035546150245 51.711159743805,-1.23585258410895 51.705895561544)
1365#3936#24018#275000#6#4#50####8444.25473746196#####''#SRID=4326;LINESTRING(-2.71629130579622 53.3093650011626,-2.68851582215091 53.3707276593449)
1410#4597#4707#400000#6#4#50#National Grid Sundon-East Claydon###15829.7098550789#####''#SRID=4326;LINESTRING(-0.677541822114181 51.9036996145782,-0.907215974380852 51.926401469656)
1451#24043#24263#132000#6##50####5502.170574562#####''#SRID=4326;LINESTRING(-2.97102172912182 51.5482792526748,-2.9086255741743 51.5648951592168)
1452#24043#24263#275000#6##50####5348.15558918514#####''#SRID=4326;LINESTRING(-2.97102172912182 51.5482792526748,-2.9086255741743 51.5648951592168)
1492#9009#24334#400000#3#2##Hams Hall-Drakelow###109.821621760911#####''#SRID=4326;LINESTRING(-1.71459897669181 52.5345660696706,-1.71367590062186 52.5315541606554)
1502#5204#6338#275000#6###Lambhill - Port Dundas###3849.67926243043#####''#SRID=4326;LINESTRING(-4.25503265997015 55.8736933530744,-4.25666670444216 55.9030367495306)
1613#24084#4266#275000#6###National Grid#National Grid##18459.5824567087#####''#SRID=4326;LINESTRING(-1.61446877921155 52.386075808882,-1.4634834866324 52.4559342337536)
1743#24005#24096#400000#6#4#50#National Grid Swansea North-Pembroke###84535.8351153094#####''#SRID=4326;LINESTRING(-4.99136323127204 51.6838020949111,-3.95665905304431 51.6893485202412)
1937#5384#3835#275000#6######50681.401342121#####''#SRID=4326;LINESTRING(-2.38090886563472 57.2188490088202,-2.94523455216303 57.522346420135)
2121#7395#24214#275000#6#2#####15955.0852158899#####''#SRID=4326;LINESTRING(-3.94579948974449 55.8243998324877,-3.92881324922441 55.7644220482936)
2130#7395#8824#275000#6######3258.83748842964#####''#SRID=4326;LINESTRING(-3.94579948974449 55.8243998324877,-3.99294539840685 55.8285743645883)
2138#8808#24066#132000#6######2008.01486808823#####''#SRID=4326;LINESTRING(-4.35239400536252 55.916889078691,-4.37718243990378 55.9300004668077)
2160#8815#24157#275000#6###SP Transmission Strathaven-?###5466.80674565461#####''#SRID=4326;LINESTRING(-4.16322953909369 55.7408588178308,-4.08039009043794 55.7525582608137)
2166#3834#8822#275000#6######5107.11392758462#####''#SRID=4326;LINESTRING(-4.19396936616522 55.7858962727872,-4.11637436202819 55.7912912552752)
2183#5796#24156#275000#6###Scottish Power Colyton-Ayr#SP Transmission##1233.24676323196#####''#SRID=4326;LINESTRING(-4.44567939031151 55.4563270969327,-4.43074023806663 55.4471041489452)
2184#5488#5796#275000#6###Scottish Power Ayr-Coylton#SP Transmission##9251.90007451172#####''#SRID=4326;LINESTRING(-4.58792123560783 55.4573431993304,-4.44567939031151 55.4563270969327)
50989#5394#5395#275000;275000;275000#3;3######203.147217089207#####''#SRID=4326;LINESTRING(-3.718402622306 56.0891709709744,-3.72153828287567 56.0874201816817)
2298#4570#4225#400000#6#2##National Grid Hutton-Harker#National Grid##81389.6783946328#####''#SRID=4326;LINESTRING(-2.96292607750182 54.9420578100294,-2.67150278900924 54.2974310554784)
2505#7358#24055#66000#3#1###NEDL##9536.70807586768#####''#SRID=4326;LINESTRING(-1.43522269010336 54.6947509596015,-1.29132305380931 54.701037321197)
2697#4539#23937#132000#6#2##National Grid Iron Acton-Oldbury###12515.5416568926#####''#SRID=4326;LINESTRING(-2.57193585845452 51.6472357763033,-2.48088622270349 51.5694622307795)
2528#5218#24063#275000#6######569.217005617871#####''#SRID=4326;LINESTRING(-1.13187215509512 54.5669532079113,-1.12757522283075 54.5756400046694)
2530#5218#24063#275000#6######879.107299126326#####''#SRID=4326;LINESTRING(-1.13187215509512 54.5669532079113,-1.12757522283075 54.5756400046694)
2607#4625#24036#400000#6######36539.7652766936#####''#SRID=4326;LINESTRING(-1.21671636136153 52.5977145017069,-1.25520325770883 52.8656418295799)
7151#4098#4559#400000#6#4#50#National Grid Fleet-Bramley###17360.578947719#####''#SRID=4326;LINESTRING(-1.07733941605961 51.3363511403009,-0.881547817719555 51.2510072241501)
7661#24009#9680#275000#6######5609.67199061192#####''#SRID=4326;LINESTRING(-0.0476844430960564 51.6044941153273,-0.043817391282034 51.5592852615349)
2757#24331#4583#400000#6#4##Wymondley - Cottam Power Station, Notts###35152.7633869504#####''#SRID=4326;LINESTRING(-0.249239570657572 51.9277809783539,-0.30168624251366 52.2148151037756)
2898#24016#24069#400000#6#2#50#National Grid Canterbury North-Sellindge###26582.528884066#####''#SRID=4326;LINESTRING(0.973781334239784 51.1059594819278,1.09552313093524 51.293193789566)
3540#8483#24247#400000#6#4#50####157.383899782288#####''#SRID=4326;LINESTRING(-1.26795407625221 51.6257034395943,-1.25927607673405 51.625592487927)
3028#4712#4714#132000#6##50####5712.11589167703#####''#SRID=4326;LINESTRING(-2.19429334545949 52.5055715342349,-2.20901502364577 52.5564027727173)
3042#4715#4718#400000#6#4#50#National Grid Walham-Rassau###26089.0483085515#####''#SRID=4326;LINESTRING(-2.25341296170183 51.8793757357803,-2.60443670349323 51.8881714672375)
3127#24088#24286#400000#6######1325.45632338233#####''#SRID=4326;LINESTRING(-2.89016235279538 54.0324637322533,-2.91641090793381 54.029235894274)
3128#24088#24286#400000#6######1336.9197988781#####''#SRID=4326;LINESTRING(-2.89016235279538 54.0324637322533,-2.91641090793381 54.029235894274)
3793#4303#4974#400000#3#2#####54.5172253274257#####''#SRID=4326;LINESTRING(-0.750534622382865 53.5947838796924,-0.755995524900173 53.5980945577232)
3361#24175#24294#400000#6######5777.94761762314#####''#SRID=4326;LINESTRING(-0.776772073699859 53.3038900324177,-0.805819990650775 53.3621156630434)
3735#5208#24004#400000#6##50#National Grid Grain-Kemsley#National Grid#4TL#641.329473605372#####''#SRID=4326;LINESTRING(0.705415701298144 51.4358271332574,0.713339862438559 51.445516790523)
7330#4110#24172#275000#6####National Grid##19935.8437214456#####''#SRID=4326;LINESTRING(-0.414759782194138 53.8007647672219,-0.238328218113023 53.7423647849555)
7527#4958#5796#275000#6###Scottish Power Coylton-Kilmarnock South#SP Transmission##13237.0307527809#####''#SRID=4326;LINESTRING(-4.46390854270388 55.5760259438728,-4.44567939031151 55.4563270969327)
50990#5395#17259#275000;275000;275000#3;3######11.2877695726156#####''#SRID=4326;LINESTRING(-3.72153828287567 56.0874201816817,-3.72164161951982 56.0870027783614)
3835#24026#24020#400000#6###National Grid Bramford-Sizewell###42994.5915391649#####''#SRID=4326;LINESTRING(1.61875223575908 52.2147188034496,1.06222643558631 52.0709561751083)
3893#4216#5004#275000#6#2#####11736.4969673722#####''#SRID=4326;LINESTRING(-3.40187603368682 51.386362368321,-3.40695838445447 51.4869830341309)
3972#5028#3940#400000#6#2##National Grid West Ham-?###8890.47314306777#####''#SRID=4326;LINESTRING(0.114400267420869 51.5212399699782,0.000970385323256714 51.5195030529697)
3992#5050#5051#275000#6###West Thurrock-?###888.643747349062#####''#SRID=4326;LINESTRING(0.272226475506343 51.4737251321353,0.288293706556615 51.4711345838526)
4187#24118#4098#400000#6#2#50#National Grid Bramley-Melksham#National Grid##81489.0079843376#####''#SRID=4326;LINESTRING(-2.15066840853946 51.3935410632712,-1.07733941605961 51.3363511403009)
4670#5405#24047#132000#3#1#50####19034.2812695613#####''#SRID=4326;LINESTRING(-3.15427721087218 51.0170264837116,-2.96778962479911 51.1176268863531)
18599#4536#4535#132000#6##50####7244.44399267129#####''#SRID=4326;LINESTRING(-2.04382218676326 52.980062919415,-2.08349900063721 53.0408429176537)
