l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
26#8747#8915#33000#######1147.4125618251#####''#SRID=4326;LINESTRING(-4.41234296254997 58.0294530350968,-4.39309876984536 58.0305588741591)#line
116#4036#24529#132000#6#2##Norwich Main-?##PGG#4129.73253767878#####''#SRID=4326;LINESTRING(1.30800139961221 52.6077477044514,1.27313676765401 52.5743284998037)#line
495#4648#4154#400000#6#4#50#National Grid East Claydon-?###35234.6878234576#####''#SRID=4326;LINESTRING(-0.907215974380852 51.926401469656,-0.656055893135692 51.6648458497597)#line
583#3948#24523#132000#6#1#50#Elstree-Brimsdown###3137.35718346661#####''#SRID=4326;LINESTRING(-0.294216938115293 51.6645333687055,-0.343460978858813 51.6608812381784)#line
605#3945#24513#400000#6###Fawley-Nursling#National Grid#YD#20331.6145357277#####''#SRID=4326;LINESTRING(-1.32879152044309 50.8215990593411,-1.48721656378409 50.9417955863639)#line
618#24518#24515#275000#6###National Grid Brimsdown-?###7137.8376357641#####''#SRID=4326;LINESTRING(-0.0232326188121726 51.6633691162501,-0.0476844430960564 51.6044941153273)#line
619#24523#24500#132000#6###Elstree-?###6212.19222922586#####''#SRID=4326;LINESTRING(-0.343460978858813 51.6608812381784,-0.382628998982101 51.6162140314235)#line
624#24531#4154#400000#6#4#50#National Grid Iver-Amersham###20142.9663956267#####''#SRID=4326;LINESTRING(-0.49772937231458 51.5427230829924,-0.656055893135692 51.6648458497597)#line
625#4061#24523#275000#6###National Grid Elstree-Mill Hill###6298.10631782315#####''#SRID=4326;LINESTRING(-0.269206954483091 51.6341291767467,-0.343460978858813 51.6608812381784)#line
631#4066#4067########1221.21920850559#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.112908720642497 51.376616177698)#line
662#5827#4997#132000#6###Wymondley-Stevenage###3201.72855910542#####''#SRID=4326;LINESTRING(-0.244459954869231 51.9267920604265,-0.223308119149555 51.9052371513503)#line
664#4100#7918########4537.826102983#####''#SRID=4326;LINESTRING(-1.47185918055459 50.9497751516404,-1.45850169296805 50.9829771876193)#line
707#4122#24837#400000#6##50#Drax to Thornton Line#National Grid#4VC#22406.408530746#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-0.998804588641847 53.737912781357)#line
712#8760#24539#132000#6######847.610110273716#####''#SRID=4326;LINESTRING(-1.60120132646229 53.8141525465376,-1.59643102938653 53.8056341183326)#line
741#3969#8334##6###West Weybridge-?###4846.48262957854#####''#SRID=4326;LINESTRING(-0.480720683283864 51.390935837942,-0.4854676356754 51.3522730806872)#line
743#4649#5716#132000#6######14696.6176955791#####''#SRID=4326;LINESTRING(-1.14676631174955 52.0490434634438,-1.33548037747873 52.0700004006018)#line
748#9747#24535#275000#6#4#50####7436.24876916433#####''#SRID=4326;LINESTRING(-2.73838525770572 53.421173967842,-2.68851582215091 53.3707276593449)#line
749#4024#9747#275000#6#4#50####10780.999791952#####''#SRID=4326;LINESTRING(-2.84827332087387 53.4691230739065,-2.73838525770572 53.421173967842)#line
750#4140#24521#275000#6######9237.55404600185#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.30886774402384 55.9023361669112)#line
764#4134#3954#132000#6######35270.8753481434#####''#SRID=4326;LINESTRING(-0.776792857049714 51.6223329000921,-1.19035546150245 51.711159743805)#line
786#4506#24838#400000#6###National Grid Sundon-?###39479.9278741201#####''#SRID=4326;LINESTRING(-0.72782786708986 52.243208204498,-0.501099082133426 51.934279005132)#line
796#5193#24590#132000#6##50###PAA#11017.7382827564#####''#SRID=4326;LINESTRING(0.874095602118018 51.0621212509657,0.866982257498675 51.1450477934359)#line
