l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
11975#24758#24789#275000#6######966.345153231727#####''#SRID=4326;LINESTRING(-3.82255946464229 51.624573282628,-3.83239973645593 51.61687574937)#line
9#4033#24567#400000#6###National Grid Rye House-Waltham Cross###5172.26850447208#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,0.00995531836523643 51.7587570463553)#line
495#4648#4154#400000#6#4#50#National Grid East Claydon-?###35234.6878234576#####''#SRID=4326;LINESTRING(-0.907215974380852 51.926401469656,-0.656055893135692 51.6648458497597)#line
598#4033#24518#275000#6###National Grid Waltham Cross-Brimsdown###5783.84769123824#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,-0.0232326188121726 51.6633691162501)#line
605#3945#24513#400000#6###Fawley-Nursling#National Grid#YD#20331.6145357277#####''#SRID=4326;LINESTRING(-1.32879152044309 50.8215990593411,-1.48721656378409 50.9417955863639)#line
618#24518#24515#275000#6###National Grid Brimsdown-?###7137.8376357641#####''#SRID=4326;LINESTRING(-0.0232326188121726 51.6633691162501,-0.0476844430960564 51.6044941153273)#line
624#24531#4154#400000#6#4#50#National Grid Iver-Amersham###20142.9663956267#####''#SRID=4326;LINESTRING(-0.49772937231458 51.5427230829924,-0.656055893135692 51.6648458497597)#line
625#4061#24523#275000#6###National Grid Elstree-Mill Hill###6298.10631782315#####''#SRID=4326;LINESTRING(-0.269206954483091 51.6341291767467,-0.343460978858813 51.6608812381784)#line
627#4066#4087#275000#6###National Grid Beddington-Chessington###17624.4934881086#####''#SRID=4326;LINESTRING(-0.127495092192653 51.3732308200971,-0.322943484201058 51.3437350001023)#line
3534#5297#24526#400000#6##50#National Grid Grain-Kemsley#National Grid#4TL#641.329473605372#####''#SRID=4326;LINESTRING(0.705415701298144 51.4358271332574,0.713339862438559 51.445516790523)#line
3578#4262#4949#400000#3#2#####54.5172253274257#####''#SRID=4326;LINESTRING(-0.750534622382865 53.5947838796924,-0.755995524900173 53.5980945577232)#line
707#4122#24837#400000#6##50#Drax to Thornton Line#National Grid#4VC#22406.408530746#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-0.998804588641847 53.737912781357)#line
748#9747#24535#275000#6#4#50####7436.24876916433#####''#SRID=4326;LINESTRING(-2.73838525770572 53.421173967842,-2.68851582215091 53.3707276593449)#line
749#4024#9747#275000#6#4#50####10780.999791952#####''#SRID=4326;LINESTRING(-2.84827332087387 53.4691230739065,-2.73838525770572 53.421173967842)#line
750#4140#24521#275000#6######9237.55404600185#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.30886774402384 55.9023361669112)#line
786#4506#24838#400000#6###National Grid Sundon-?###39479.9278741201#####''#SRID=4326;LINESTRING(-0.72782786708986 52.243208204498,-0.501099082133426 51.934279005132)#line
889#3972#4066#275000#6###National Grid Beddington-Wimbledon###8388.27367420137#####''#SRID=4326;LINESTRING(-0.188300691769961 51.430753835359,-0.127495092192653 51.3732308200971)#line
897#4772#4019#400000#6#2##National Grid Northfleet East-Singlewell#National Grid##5770.8852815201#####''#SRID=4326;LINESTRING(0.392930074808078 51.4048360718662,0.329857077621904 51.4283141894106)#line
1153#4122#4736#400000#6#4#50####16572.9730742215#####''#SRID=4326;LINESTRING(-0.822070720621182 53.9003771454928,-1.0230329505594 53.956757048653)#line
1127#24588#24549#400000#6######10174.3321277498#####''#SRID=4326;LINESTRING(-1.26646550613933 53.7563297810902,-1.12543121543147 53.7110986632473)#line
3750#8696#24766#400000#6#4#50####157.383899782288#####''#SRID=4326;LINESTRING(-1.26795407625221 51.6257034395943,-1.25927607673405 51.625592487927)#line
932#4011#4778#400000#6###National Grid Bolney-Ninfield###51279.6897660597#####''#SRID=4326;LINESTRING(0.44839094368361 50.8812037588621,-0.235247120063606 50.9749906413837)#line
936#3945#3975#400000####National Grid Chilling-Fawley#National Grid##2816.43071937931#####''#SRID=4326;LINESTRING(-1.32879152044309 50.8215990593411,-1.29093705238972 50.834882029367)#line
951#3942#4070#400000#6###National Grid Chilling-Botley Wood#National Grid#4YE#7451.48419454651#####''#SRID=4326;LINESTRING(-1.23263237096317 50.8847214734854,-1.28534847510223 50.8356945662109)#line
957#4033#24518#275000#6###National Grid Waltham Cross-Brimsdown###5775.69719816859#####''#SRID=4326;LINESTRING(-0.0115777306440462 51.7140328755198,-0.0232326188121726 51.6633691162501)#line
987#24518#24515#275000#6###Brimsdown-?###6909.33950537543#####''#SRID=4326;LINESTRING(-0.0232326188121726 51.6633691162501,-0.0476844430960564 51.6044941153273)#line
988#3959#9598#400000#######5559.5541934895#####''#SRID=4326;LINESTRING(0.000970385323256714 51.5195030529697,-0.043817391282034 51.5592852615349)#line
995#4140#8673#275000#6######1348.14659837772#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.17863338646695 55.9031356255648)#line
1023#24523#4051#275000#6#2#50#National Grid Elstree-Watford###5282.46537741035#####''#SRID=4326;LINESTRING(-0.343460978858813 51.6608812381784,-0.404491676212609 51.642676308684)#line
1041#5835#4215#400000#6#4#50#National Grid Bramley-West Weybridge###49195.2232721929#####''#SRID=4326;LINESTRING(-0.480073493335928 51.3526209992658,-1.07733941605961 51.3363511403009)#line
1283#24543#24765#132000#6##50####5502.170574562#####''#SRID=4326;LINESTRING(-2.9710217285466 51.5482792529983,-2.9086255741743 51.5648951592168)#line
1742#5298#6486#275000#6######2058.4022731884#####''#SRID=4326;LINESTRING(-2.93849479075866 57.5403668939523,-2.94523455216303 57.522346420135)#line
1128#24549#24837#400000#6##50#Drax to Eggborough Line#National Grid#4VJ#8212.63316561091#####''#SRID=4326;LINESTRING(-1.12543121543147 53.7110986632473,-0.998804588641847 53.737912781357)#line
1129#4075#4122#400000#6##50##National Grid##29530.2250638923#####''#SRID=4326;LINESTRING(-0.414759782194138 53.8007647672219,-0.822070720621182 53.9003771454928)#line
1185#4140#4860#275000#6#2#####8590.52406191714#####''#SRID=4326;LINESTRING(-3.16548587822257 55.8915526876472,-3.03603844581869 55.9085589105083)#line
1231#4135#24501#400000#6#4#50#National Grid Exeter-Axminster###36112.2193328995#####''#SRID=4326;LINESTRING(-3.40522446873275 50.7672406556616,-2.92340717371247 50.7868895051052)#line
