v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#net_capacity#wkt_srid_4326
363#6.06921155665361#53.1074121036862#substation#110000##110kV Drachten#TenneT######SRID=4326;POINT(6.06921155665361 53.1074121036862)
364#3.86404180528921#51.49047496946#substation#150000##150kV Goes de Poel##GSP#####SRID=4326;POINT(3.86404180528921 51.49047496946)
365#3.81166412050068#51.3884926980136#substation##########SRID=4326;POINT(3.81166412050068 51.3884926980136)
362#3.79846794060335#51.332836567258#substation##########SRID=4326;POINT(3.79846794060335 51.332836567258)
368#3.64422260746195#51.4657294628138#substation##########SRID=4326;POINT(3.64422260746195 51.4657294628138)
148#4.66799997284392#52.3916599732497#sub_station####Liander######SRID=4326;POINT(4.66799997284392 52.3916599732497)
164#4.68414503411929#51.8140009580566#substation###150kV Noordendijk#######SRID=4326;POINT(4.68414503411929 51.8140009580566)
166#6.78515671081061#52.2347434481801#substation#110000##110kV AVI Twence#######SRID=4326;POINT(6.78515671081061 52.2347434481801)
167#7.0094383691445#52.2555215574458#substation###110kV Losser#######SRID=4326;POINT(7.0094383691445 52.2555215574458)
168#6.36315711608341#52.4963759542144#substation#110000##110kV Ommen Vilsteren#######SRID=4326;POINT(6.36315711608341 52.4963759542144)
170#6.91396407327535#52.6964518792759#substation###110kV Erica#######SRID=4326;POINT(6.91396407327535 52.6964518792759)
172#6.93541952535279#53.0840372474019#substation#110000##110kV Veendam Zuidwending#######SRID=4326;POINT(6.93541952535279 53.0840372474019)
178#4.38368363457773#51.9930690679739#sub_station##########SRID=4326;POINT(4.38368363457773 51.9930690679739)
235#6.19463236029883#52.2447259565548#substation##########SRID=4326;POINT(6.19463236029883 52.2447259565548)
271#6.36918570995513#52.2591960831571#substation##########SRID=4326;POINT(6.36918570995513 52.2591960831571)
327#4.48226565217229#52.1958440599206#substation##50########SRID=4326;POINT(4.48226565217229 52.1958440599206)
329#4.48245582551794#52.1983404599502#substation##50########SRID=4326;POINT(4.48245582551794 52.1983404599502)
355#4.92644276383063#51.6462886186356#substation#150000##150kV Oosteind#TenneT######SRID=4326;POINT(4.92644276383063 51.6462886186356)
356#5.34103257376088#52.1673003746926#substation#150000##150kV Soest#######SRID=4326;POINT(5.34103257376088 52.1673003746926)
357#4.44892450073914#51.7686058696618#substation#50000##50 kV Klaaswaal##KLW#####SRID=4326;POINT(4.44892450073914 51.7686058696618)
361#5.77967048685831#51.8207320853959#substation#150000##150kV Teersdijk#######SRID=4326;POINT(5.77967048685831 51.8207320853959)
369#5.73551605810928#51.2706281186245#substation#150000##150kV Nederweert#######SRID=4326;POINT(5.73551605810928 51.2706281186245)
370#6.75961742762003#53.2050461304669#substation#110000##110kV Slochteren Kooipolder#######SRID=4326;POINT(6.75961742762003 53.2050461304669)
386#5.08849087924737#51.7054647148821#substation#150000##150kV Waalwijk#######SRID=4326;POINT(5.08849087924737 51.7054647148821)
387#5.12141504742998#52.2594218991888#substation#150000##'150kV s''-Graveland'#######SRID=4326;POINT(5.12141504742998 52.2594218991888)
388#4.99287722984594#52.1884438127973#substation#150000##150kV Breukelen#Tennet######SRID=4326;POINT(4.99287722984594 52.1884438127973)
389#4.83297421115171#51.7008521475898#substation#380000##380kV Geertruidenberg#Tennet######SRID=4326;POINT(4.83297421115171 51.7008521475898)
390#4.30569976187662#51.4670892408179#substation#150000##150 kV Woensdrecht#######SRID=4326;POINT(4.30569976187662 51.4670892408179)
391#5.46015096535249#52.3459994238104#substation#150000##150kV Zeewolde##ZWO#####SRID=4326;POINT(5.46015096535249 52.3459994238104)
392#5.05526118539867#52.0650948246299#substation#150000##150kV Oudenrijn#Tennet;Stedin######SRID=4326;POINT(5.05526118539867 52.0650948246299)
393#4.58194027017921#51.6642562178262#substation#150000##150kV Moerdijk#######SRID=4326;POINT(4.58194027017921 51.6642562178262)
395#5.27832694674019#51.8008172597977#substation#150000##150kV Zaltbommel#######SRID=4326;POINT(5.27832694674019 51.8008172597977)
396#5.44484809866561#51.8983994225072#substation#150000##150kV Tiel#TenneT######SRID=4326;POINT(5.44484809866561 51.8983994225072)
397#5.70823804091767#50.8630055923216#substation#150000##150kV Limmel#TenneT######SRID=4326;POINT(5.70823804091767 50.8630055923216)
398#5.80081695153769#50.9644207192679#substation#150000#########SRID=4326;POINT(5.80081695153769 50.9644207192679)
400#5.8074895166624#50.9432904417077#substation#150000#50#150kV Beek#######SRID=4326;POINT(5.8074895166624 50.9432904417077)
402#4.98097894415454#52.3739632889636#substation##########SRID=4326;POINT(4.98097894415454 52.3739632889636)
403#4.86434859392335#52.4171610825236#substation##########SRID=4326;POINT(4.86434859392335 52.4171610825236)
404#7.05969763783913#53.1356990725889#substation#110000##110kV Winschoten#TenneT######SRID=4326;POINT(7.05969763783913 53.1356990725889)
405#5.52951460667978#52.5774906824146#plant###Maxima-centrale#GDF SUEZ Energie Nederland######SRID=4326;POINT(5.52951460667978 52.5774906824146)
406#4.73381994379294#52.0074220220568#substation#150000##150kV Gouda#TenneT######SRID=4326;POINT(4.73381994379294 52.0074220220568)
407#4.15258543674315#51.9457583757025#substation####TenneT######SRID=4326;POINT(4.15258543674315 51.9457583757025)
411#6.56444957334212#53.2265986126829#substation#110000##110kV Groningen Bloemsingel#######SRID=4326;POINT(6.56444957334212 53.2265986126829)
412#4.67479061452366#51.8488712209917#substation#150000##150kV Alblasserdam#TenneT######SRID=4326;POINT(4.67479061452366 51.8488712209917)
415#4.44088590591302#52.1316439557731#substation##########SRID=4326;POINT(4.44088590591302 52.1316439557731)
416#4.5098480330145#51.8624928877883#substation####TenneT######SRID=4326;POINT(4.5098480330145 51.8624928877883)
417#5.06376684124571#52.1044793534131#substation##########SRID=4326;POINT(5.06376684124571 52.1044793534131)
418#5.10469101996949#52.1305688203457#substation##########SRID=4326;POINT(5.10469101996949 52.1305688203457)
420#5.27442416279554#51.7124953743952#substation#150000##150kV Hertogenbosch West#######SRID=4326;POINT(5.27442416279554 51.7124953743952)
433#4.50364394889573#51.8778267856044#substation#150000#50#150 kV Rotterdam Zuidwijk#TenneT######SRID=4326;POINT(4.50364394889573 51.8778267856044)
437#4.87610510561907#52.4290726344532#substation#380000;150000##380kV Oostzaan#TenneT######SRID=4326;POINT(4.87610510561907 52.4290726344532)
505#6.14257553638125#52.7772480928787#substation#110000##110kV Steenwijk#######SRID=4326;POINT(6.14257553638125 52.7772480928787)
455#5.21668022255053#52.3880934758622#substation#150000##150 kV Almere Markerkant#######SRID=4326;POINT(5.21668022255053 52.3880934758622)
458#4.30706990125723#52.016075746144#substation#380000;150000##380kV Wateringen#TenneT#WTR#####SRID=4326;POINT(4.30706990125723 52.016075746144)
461#5.83936421434798#51.8841689240227#substation##########SRID=4326;POINT(5.83936421434798 51.8841689240227)
