l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
23#1763#2525#110000#3##50####595.284969937465#####''#SRID=4326;LINESTRING(18.93793375763 50.4916837991059,18.9332646771227 50.4980061315801)#line
38#4094#20563#110000#3######56.8591003388885#####''#SRID=4326;LINESTRING(17.8735953920249 50.746239066479,17.881807140869 50.75179279116)#line
39#2234#2235#110000####110kV Radzice - Drzewica###5600.05501074454#####''#SRID=4326;LINESTRING(20.4632882408885 51.4514253527028,20.396560666707 51.4528614681429)#line
40#2236#4209#110000#3###110kV Końskie Zachód - Polmo##W463#708.719694076873#####''#SRID=4326;LINESTRING(20.394859687451 51.2072881516106,20.402771293694 51.2023148681743)#line
56#2359#2360#110000#3###110kV Otwock - Józefów###5229.36118476694#####''#SRID=4326;LINESTRING(21.2929563906393 52.129723615602,21.241015662392 52.128902013978)#line
59#1504#2395#110000#3###110kV Mońki - Osowiec###15093.396933452#####''#SRID=4326;LINESTRING(22.6746736921154 53.4635736557015,22.8100653737157 53.3967705923566)#line
81#20651#20671#110000#3###110kV Żukowice - Huta Głogów 1##S-440#2306.45836516197#####''#SRID=4326;LINESTRING(16.0061948963015 51.6621538101872,15.992351145322 51.6801010546721)#line
136#2266#5490#110000#3###110kV Trębaczew - Działoszyn###2555.41909639481#####''#SRID=4326;LINESTRING(18.9076342087989 51.1427108360094,18.9092684264816 51.1211626758459)#line
139#3950#21262########1380.9290328773#####''#SRID=4326;LINESTRING(15.4438984690961 51.9742193834732,15.4268354245461 51.9780442138014)#line
158#5021#4980#110000#3###110kV Prudnik - Głubczyce###25550.9943550542#####''#SRID=4326;LINESTRING(17.5848315423659 50.3176972935781,17.8273292492708 50.2098483656876)#line
204#1491#1751#110000#6###110kV Pabianice - Lublinek###6880.53181391115#####''#SRID=4326;LINESTRING(19.3511054867252 51.7297871681429,19.3677527891757 51.6775907230231)#line
228#2377#5722#15000#3######1412.81406923363#####''#SRID=4326;LINESTRING(14.4572044364967 52.968226591129,14.4368965340425 52.9742516880641)#line
314#1189#1208#110000#3#1##110kV Pogodno - Żelechowo##1-5-29#5405.48112803546#####''#SRID=4326;LINESTRING(14.5041900804263 53.4539632667027,14.5760246176513 53.4503667366871)#line
319#1260#1930#110000#3#1#50#110kV Brwinów - Grodzisk Mazowiecki###9038.3950159801#####''#SRID=4326;LINESTRING(20.7048235188871 52.1341431927193,20.6050018992989 52.1154508192093)#line
320#1255#20558#110000#3#1#50#Tarczyn - Piaseczno###20584.2668616806#####''#SRID=4326;LINESTRING(20.8332908029879 51.9704482097682,21.0355065403937 52.0906903365911)#line
335#1268#1184#400000#3#2#50#400kV Krajnik - Morzyczyn###41532.6518282585#####''#SRID=4326;LINESTRING(14.8964767901971 53.354607928723,14.476270720482 53.1969255737151)#line
371#20534#1184#400000#3##50#400kV Krajnik - Plewiska###211810.482483528#####''#SRID=4326;LINESTRING(16.7791705153204 52.3686114897095,14.476270720482 53.1969255737151)#line
390#1220#1226#110000#3###110kV Podlesie - Gołonóg###3025.36913025874#####''#SRID=4326;LINESTRING(19.2511871855094 50.3288679692989,19.2185575128333 50.3384737577393)#line
400#1032#6201#110000#3######1223.82291626696#####''#SRID=4326;LINESTRING(18.1093958343295 54.7188714534045,18.0840635729328 54.7216902827599)#line
402#20618#1462#110000#3###110 kV Abramowice - Świdnik###12014.689821086#####''#SRID=4326;LINESTRING(22.5840903723697 51.1963351060537,22.7219582011156 51.2102556991227)#line
403#20618#20622#110000#3###Linia WN 110 kV Abramowice - Lublin Odlewnia###8675.74932089757#####''#SRID=4326;LINESTRING(22.5840903723697 51.1963351060537,22.6489040052539 51.2390422020405)#line
405#1999#2132#110000#3###110kV Lublin - Parczew###52439.6534938896#####''#SRID=4326;LINESTRING(22.6161863279317 51.2981875498299,22.8605813440148 51.6592530978641)#line
409#1027#2387#110000#3###110kV Żary - Budziechów###16948.2129124619#####''#SRID=4326;LINESTRING(14.9897518162094 51.7701348340885,15.0970481379644 51.6320372665907)#line
414#1208#1193#110000#3#1##110kV Glinki - Żelechowo###5880.32298802117#####''#SRID=4326;LINESTRING(14.5760246176513 53.4503667366871,14.581231140564 53.4998446008059)#line
416#1237#2764#110000#3###110 kV###1670.68837441784#####''#SRID=4326;LINESTRING(20.09894066333 50.0958542541518,20.0884707231905 50.0847843071606)#line
417#1237#1250#110000#3###110 kV###722.560146962471#####''#SRID=4326;LINESTRING(20.09894066333 50.0958542541518,20.1026066358546 50.0882149371106)#line
418#1237#1250#110000#3###110 kV###673.543627642219#####''#SRID=4326;LINESTRING(20.09894066333 50.0958542541518,20.1026066358546 50.0882149371106)#line
419#1237#2808#110000#3###110kV Lubocza - Słomniki###18296.5101823112#####''#SRID=4326;LINESTRING(20.09894066333 50.0958542541518,20.0908982607059 50.2514382188747)#line
421#2512#1486#110000#3#1#50#110kV Kiekrz - Sady###5873.46373678855#####''#SRID=4326;LINESTRING(16.709969987024 52.4574901479346,16.7673184146284 52.4832525108889)#line
422#20534#1486#110000#3#1#50#110kV Plewiska - Kiekrz###15822.7695898381#####''#SRID=4326;LINESTRING(16.7791705153204 52.3686114897095,16.7673184146284 52.4832525108889)#line
427#1188#1559#110000#3######19010.2214778803#####''#SRID=4326;LINESTRING(19.5615293776751 51.7576692351146,19.8143801944334 51.7585564480857)#line
446#2337#20558#110000#3#1#50#Grójec - Piaseczno###37518.7766895852#####''#SRID=4326;LINESTRING(20.8947017798261 51.8651800356469,21.0355065403937 52.0906903365911)#line
456#1504#1060#110000#3###110kV Grajewo 2 - Osowiec###25826.0308296904#####''#SRID=4326;LINESTRING(22.6746736921154 53.4635736557015,22.4583515147656 53.624516426548)#line
457#2331#2446#110000####110kV Koszalin Północ - Południe###15283.0081476427#####''#SRID=4326;LINESTRING(16.1925852371514 54.2174167186935,16.1865813682591 54.1715675621889)#line
484#2725#1031#220000#3###220kV Blachownia - Łagisza###66160.0042889744#####''#SRID=4326;LINESTRING(18.2937140714193 50.3590617546981,19.1412205003995 50.3521735432264)#line
485#1299#1404#110000#3###110kV Jamki - Mikrohuta###1322.00959159162#####''#SRID=4326;LINESTRING(19.2693589784429 50.3258360097421,19.2503385552131 50.3190692218046)#line
487#2751#1029#110000#3###110kV Bukowno - Lipówka###12465.1013026997#####''#SRID=4326;LINESTRING(19.4664625229062 50.2747772922026,19.3512157701042 50.3264408572034)#line
489#1830#20643#110000#3###110kV Krajnik - Gryfino###5342.7925063544#####''#SRID=4326;LINESTRING(14.5054430122969 53.2452430021579,14.4654401784931 53.2096763343568)#line
517#1053#1999#110000#3###110kV Lublin - Północ 2###7475.40015197412#####''#SRID=4326;LINESTRING(22.568884342113 51.2659929713041,22.6161863279317 51.2981875498299)#line
518#1378#21914#380000#6#3###50Hertz Transmission GmbH#553;554#511.504522292267#####''#SRID=4326;LINESTRING(14.9465238329262 51.0625934819444,14.9442046165057 51.0570210259559)#line
