l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
94#8233#54788########7966.97925724046#####''#SRID=4326;LINESTRING(49.0053684504744 55.7996394136455,49.0616696497177 55.8481910574314)#line
195#6400#27246#35000#3#1#50####16845.2972833506#####''#SRID=4326;LINESTRING(40.8956689482103 55.1124869373369,40.7582883731296 55.0080273011585)#line
207#3322#10898#110000#3###ВЛ Куралово - Савино 110кВ###11861.8891833311#####''#SRID=4326;LINESTRING(48.7236246818136 55.6515975619786,48.743018666994 55.7290870798219)#line
290#14470#15757########1246.60571646652#####''#SRID=4326;LINESTRING(40.4488323391983 56.1508574026518,40.4544735537509 56.1450265518889)#line
329#14703#48613#110000#6######2700.33649995911#####''#SRID=4326;LINESTRING(104.728464561581 52.7962003832644,104.760622606519 52.8007151750665)#line
478#15497#26476##6######500.828480174439#####''#SRID=4326;LINESTRING(36.253801440547 54.550347196911,36.2617142474776 54.5488681513358)#line
498#50714#52686########5783.07774342372#####''#SRID=4326;LINESTRING(60.868244371759 50.8323287208206,60.794654219989 50.8467636990072)#line
552#20975#20977#110000#3######7317.28174517867#####''#SRID=4326;LINESTRING(46.8776779095112 49.9882735749897,46.8561906533351 50.0431466435918)#line
553#20975#20977#110000#3######7206.27242477815#####''#SRID=4326;LINESTRING(46.8776779095112 49.9882735749897,46.8561906533351 50.0431466435918)#line
562#4528#22363#110000#######1885.75874509924#####''#SRID=4326;LINESTRING(73.407521138599 54.9756530433812,73.4232213250952 54.9661667795171)#line
571#53613#54342########148.438937099343#####''#SRID=4326;LINESTRING(103.515361406436 52.8106593200898,103.51519706654 52.8101592525744)#line
608#22023#22040#35000#3######20058.04790148#####''#SRID=4326;LINESTRING(50.6981263681093 54.5260141565455,50.4255181890658 54.4897123494635)#line
827#4245#6094##6#1#####228.597418561233#####''#SRID=4326;LINESTRING(38.1264584175755 55.6027155019372,38.1338926206301 55.6033549615773)#line
845#16922#17120########237.37069905927#####''#SRID=4326;LINESTRING(42.8903558727722 44.0546219724555,42.8921523057304 44.058508441753)#line
850#16894#22165#110000#6###ВЛ Бугульма - Карабаш II 110кВ###6244.16305917728#####''#SRID=4326;LINESTRING(52.5942720731477 54.6987401362437,52.6525420502028 54.656293549029)#line
954#47907#47959#220000#6######173.6146037351#####''#SRID=4326;LINESTRING(93.020592780274 56.0967364609926,93.0109863782244 56.1018174517135)#line
955#5063#47959#220000#3######49.8754398758759#####''#SRID=4326;LINESTRING(93.0063128791 56.1051348478968,93.0109863782244 56.1018174517135)#line
985#15695#23218#220000#6######5066.72832438647#####''#SRID=4326;LINESTRING(123.959374318737 53.9889505616011,123.924207196952 53.9664362037908)#line
1049#7494#48051#220000#3#1#####245.533633937052#####''#SRID=4326;LINESTRING(45.9642891013698 55.2419256087384,45.9611047161033 55.2370085123583)#line
1050#25497#25528#110000#6#1#50####4368.54318391089#####''#SRID=4326;LINESTRING(37.9326765681045 51.1244866560422,37.8953083125922 51.1056007432201)#line
1138#28877#54159########2210.22920841012#####''#SRID=4326;LINESTRING(53.0542286702309 54.7958541648852,53.0259614776458 54.8076923249487)#line
1183#20469#27493#35000#3#1#####3528.72143550877#####''#SRID=4326;LINESTRING(39.9055696816422 52.4663747121916,39.9286469088077 52.4929094294902)#line
1190#52814#52398########123.132052961593#####''#SRID=4326;LINESTRING(73.0931153299011 61.3210359386833,73.0925041263924 61.3212635349371)#line
1327#29722#29723#35000#####Сахалинэнерго##4508.92242658639#####''#SRID=4326;LINESTRING(142.732042895404 46.7628055118576,142.729824242846 46.8043635885376)#line
1362#4002#31620########8253.06076928784#####''#SRID=4326;LINESTRING(63.3403184361858 57.1971462304825,63.4683176829333 57.1905679786375)#line
1379#16076#18996#110000#3###С-57 (ПС «Белый Яр» - ПС «Колпашево»)##С-57#139965.027280348#####''#SRID=4326;LINESTRING(82.9097727052954 58.3308173849611,85.0167298613467 58.4407015629337)#line
1383#6903#10381#750000#3###ВЛ750кВ Л-702 Ленинградская АЭС - ПС 750 кВ Ленинградская##Л-702#123433.261402816#####''#SRID=4326;LINESTRING(30.6176502694021 59.5745439184165,29.0214418222384 59.8308471446855)#line
1419#4302#7189#220000#3#1#####23148.0761337292#####''#SRID=4326;LINESTRING(38.3582497897888 52.7283076361812,38.4160742966126 52.5930949513058)#line
1446#24398#27928#110000#6######5472.87046072585#####''#SRID=4326;LINESTRING(38.3530502624136 57.5526830956185,38.2828727001341 57.5698220597436)#line
1452#18394#48345#110000####С-109 (С-110?) (ПС «Лугинецкая» - ПС «Игольская»)##С-109 (С-110?)#163384.879058398#####''#SRID=4326;LINESTRING(78.8851111110458 58.1636914205322,76.4348129774404 57.7510252996102)#line
1464#4103#4355#35000#######9693.4108454991#####''#SRID=4326;LINESTRING(28.0765528666712 59.4513333796822,28.1767568850724 59.3879722487459)#line
1470#31628#4374########1711.03755872917#####''#SRID=4326;LINESTRING(38.0223737199654 55.6629727112118,38.0394997779968 55.6656417885863)#line
1483#54909#4052#110000#6#1#####7928.45146916469#####''#SRID=4326;LINESTRING(37.8600766374685 55.7747498086699,37.7496764498792 55.7807131673808)#line
1490#5376#52032###1#####25425.3259206119#####''#SRID=4326;LINESTRING(38.95003632589 55.8023496440402,39.2550924310488 55.7063593055364)#line
1521#30568#30569########18720.9129306103#####''#SRID=4326;LINESTRING(36.514702110953 58.8496126597675,36.256583949667 58.9244040290804)#line
1524#5212#30722########26543.1707546821#####''#SRID=4326;LINESTRING(27.8503941484732 58.7610695795819,28.2300502671762 58.6590777256156)#line
