l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
571#53613#54342########148.438937099343#####''#SRID=4326;LINESTRING(103.515361406436 52.8106593200898,103.51519706654 52.8101592525744)#line
954#47907#47959#220000#6######173.6146037351#####''#SRID=4326;LINESTRING(93.020592780274 56.0967364609926,93.0109863782244 56.1018174517135)#line
955#5063#47959#220000#3######49.8754398758759#####''#SRID=4326;LINESTRING(93.0063128791 56.1051348478968,93.0109863782244 56.1018174517135)#line
985#15695#23218#220000#6######5066.72832438647#####''#SRID=4326;LINESTRING(123.959374318737 53.9889505616011,123.924207196952 53.9664362037908)#line
1049#7494#48051#220000#3#1#####245.533633937052#####''#SRID=4326;LINESTRING(45.9642891013698 55.2419256087384,45.9611047161033 55.2370085123583)#line
1190#52814#52398########123.132052961593#####''#SRID=4326;LINESTRING(73.0931153299011 61.3210359386833,73.0925041263924 61.3212635349371)#line
1383#6903#10381#750000#3###ВЛ750кВ Л-702 Ленинградская АЭС - ПС 750 кВ Ленинградская##Л-702#123433.261402816#####''#SRID=4326;LINESTRING(30.6176502694021 59.5745439184165,29.0214418222384 59.8308471446855)#line
1419#4302#7189#220000#3#1#####23148.0761337292#####''#SRID=4326;LINESTRING(38.3582497897888 52.7283076361812,38.4160742966126 52.5930949513058)#line
1723#4518#14940#500000#3######44085.4198482851#####''#SRID=4326;LINESTRING(59.6577821617551 55.1349520547517,59.0093686515056 55.1202543385146)#line
1826#5131#47904#750000#3###ВЛ750кВ Калининская АЭС - Опытная###199425.701793408#####''#SRID=4326;LINESTRING(36.7838288424853 56.7450595570696,35.0613791086668 57.9071105954243)#line
1886#9535#47904#750000#3###ВЛ750кВ Калининская АЭС - Грибово###254598.816838295#####''#SRID=4326;LINESTRING(35.8762943794817 56.0407094376609,35.0613791086668 57.9071105954243)#line
1911#7472#48082#220000#3######22020.078002164#####''#SRID=4326;LINESTRING(60.5019745550821 59.5522796606893,60.7021266859634 59.6332657020541)#line
2024#4201#55265#220000#3#1#####713.565528978514#####''#SRID=4326;LINESTRING(37.6228412098149 55.5718228020873,37.6309646735493 55.5765460653477)#line
2274#48007#24686#500000#3##50#ВЛ 524 (ПС «Итатская» - ПС «Новоанжерская»)##524#221361.891491842#####''#SRID=4326;LINESTRING(89.0738380128125 55.4360723526681,86.13046060296 56.0938986305315)#line
2392#7472#48108#220000#3######6814.61566981046#####''#SRID=4326;LINESTRING(60.5019745550821 59.5522796606893,60.5784634773135 59.5880131271514)#line
2427#4393#4537#500000#3#3#50#ВЛ 500 кВ Белозерская – Череповецкая#ФСК ЕЭС##29298.0629403054#####''#SRID=4326;LINESTRING(37.6241003717099 59.221528182207,37.8816694057989 59.3664860063918)#line
2572#5061#5478#220000#3######1841.95309722739#####''#SRID=4326;LINESTRING(92.9768625068842 56.0915911944954,93.0001607645294 56.0905284593301)#line
2580#5397#6018#220000#6######2022.62797512225#####''#SRID=4326;LINESTRING(37.7698320508772 55.8231442828554,37.8043605035073 55.826071298278)#line
2627#47968#48007#500000#3###ВЛ ? (Берёзовская ГРЭС - ПС «Итатская»)###15670.4715972352#####''#SRID=4326;LINESTRING(89.0710784993159 55.5848401304513,89.0738380128125 55.4360723526681)#line
2649#5000#8510#220000#6##50####28878.1091585624#####''#SRID=4326;LINESTRING(83.039316871336 55.0097593290133,83.4591218222767 55.0373135800301)#line
2665#25685#27400#220000#3#1##Орловская Районная - Узловая###25802.2503940919#####''#SRID=4326;LINESTRING(36.1716296262599 53.0426808558354,36.0161668493109 52.914022254285)#line
2972#6046#47917#220000#3#1#####6677.10900300448#####''#SRID=4326;LINESTRING(57.2892341079512 65.1813578787065,57.312968441107 65.139502486857)#line
3183#47968#48007#500000#3##50#ВЛ ? (Берёзовская ГРЭС - ПС «Итатская»)###16036.3680310796#####''#SRID=4326;LINESTRING(89.0710784993159 55.5848401304513,89.0738380128125 55.4360723526681)#line
3344#48051#27612#220000#3#1##Сеченово-Пильна №1###48574.0939035339#####''#SRID=4326;LINESTRING(45.9611047161033 55.2370085123583,45.8277021456831 55.60982271045)#line
