l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
13284#30835#31536#400000#3####Red Eléctrica de España##194.728560462898#####''#SRID=4326;LINESTRING(-3.98287035666885 40.6151101463109,-3.98511803134124 40.6146751539798)#line
870#1335#1336#220000#6##50##Red Eléctrica de España##812.91473075016#####''#SRID=4326;LINESTRING(2.02378452063332 41.4748095221008,2.00982668796271 41.4731997685433)#line
26#35719#36090########1882.57663009941#####''#SRID=4326;LINESTRING(-5.38161576288933 36.1913671048233,-5.37465513106585 36.2068322867416)#line
39#1642#1643#400000#3####Red Eléctrica de España##720.273722870391#####''#SRID=4326;LINESTRING(-6.71260585401585 38.3255233556092,-6.70313320011319 38.3203859498945)#line
108#998#2219#400000#3####Red Eléctrica de España##320.544334846127#####''#SRID=4326;LINESTRING(-1.97534634695199 43.2561491242205,-1.96856068547622 43.2598373771248)#line
270#1097#1201#220000#3##50##Red Eléctrica de España##37151.3098769957#####''#SRID=4326;LINESTRING(-4.16942614727271 42.1686344641052,-3.78067957502997 42.3409461754997)#line
283#1086#1183########6435.19895324542#####''#SRID=4326;LINESTRING(-3.82700219767962 43.3959390154598,-3.8674059683344 43.4360145227594)#line
327#1225#1652#220000#3######23927.3853123356#####''#SRID=4326;LINESTRING(-0.702491556346009 41.3005032673607,-0.97704300607074 41.3368873315796)#line
346#1055#2942#220000#6##50##Red Electrica Española##4675.61630170936#####''#SRID=4326;LINESTRING(-3.88327224773344 40.4483512794784,-3.90885926986307 40.4077991946484)#line
1258#1644#1643#400000#3####Red Eléctrica de España##44690.1608867209#####''#SRID=4326;LINESTRING(-6.19790211665009 38.3172718949519,-6.70313320011319 38.3203859498945)#line
1259#1642#1643#400000#6####Red Eléctrica de España##845.090024933079#####''#SRID=4326;LINESTRING(-6.71260585401585 38.3255233556092,-6.70313320011319 38.3203859498945)#line
686#1249#1374#220000#3####Red Eléctrica de España##15813.5703749132#####''#SRID=4326;LINESTRING(-5.61492013443886 36.0725350291882,-5.71772157580109 36.145240863585)#line
1212#1199#1455#400000#3#2#50##Red Eléctrica de España##17256.7879635569#####''#SRID=4326;LINESTRING(-6.67879669725226 41.2077370232556,-6.48763838374114 41.255142886361)#line
347#34729#1597#400000#3##50##Red Eléctrica de España##55490.691736768#####''#SRID=4326;LINESTRING(-4.93759179958475 41.7894087855627,-4.72720626469768 41.3200911933277)#line
375#1556#34764#400000#3##50##Red Eléctrica de España##348.527608977428#####''#SRID=4326;LINESTRING(-3.21539897329764 42.777089460955,-3.20538187661552 42.774958432581)#line
440#1077#1274#400000#3#2#50##Red Eléctrica de España##39643.5924286725#####''#SRID=4326;LINESTRING(-0.09652982823319 39.9667904482161,-0.317128952089998 39.6598718732561)#line
455#1282#1571#400000#6##50##Red Eléctrica de España##66472.2752041788#####''#SRID=4326;LINESTRING(-7.28124616080184 42.3443024641443,-8.05741655988709 42.2564482022009)#line
699#1298#34729#400000#3##50##Red Eléctrica de España##45563.976072244#####''#SRID=4326;LINESTRING(-4.55605022354022 42.0718237900452,-4.93759179958475 41.7894087855627)#line
6203#1131#36451#220000#6######151.391180041951#####''#SRID=4326;LINESTRING(-3.71075422262814 40.2759705428298,-3.70761671063256 40.275747293563)#line
481#1455#1298#400000#3##50##Red Eléctrica de España##194969.266432135#####''#SRID=4326;LINESTRING(-6.48763838374114 41.255142886361,-4.55605022354022 42.0718237900452)#line
525#1162#1335#220000#6##50##REE##9769.84932953931#####''#SRID=4326;LINESTRING(2.04761118897554 41.5551676937279,2.02378452063332 41.4748095221008)#line
700#1942#34729#400000#3####Red Eléctrica de España##32942.6635539258#####''#SRID=4326;LINESTRING(-5.01299577748653 41.5067839892847,-4.93759179958475 41.7894087855627)#line
1320#34730#34771#400000#3####Red Electrica Española##9397.00085565064#####''#SRID=4326;LINESTRING(-0.952469576046732 37.5642292004646,-0.961089030164603 37.6334121665092)#line
14409#1142#31507#220000#6######347.906523506944#####''#SRID=4326;LINESTRING(-1.84243945364878 43.30509395389,-1.84348974773068 43.3006897347062)#line
543#34782#34729#400000#6####Red Eléctrica de España##126412.841422136#####''#SRID=4326;LINESTRING(-5.63565544550895 42.7949987381841,-4.93759179958475 41.7894087855627)#line
569#1338#34743########2353.83381123017#####''#SRID=4326;LINESTRING(-5.66571187523 39.8210163927347,-5.69634676961837 39.8076323654973)#line
590#1847#34747#400000#6######59854.8717878993#####''#SRID=4326;LINESTRING(-1.65457226603253 42.6694098118501,-1.68593959913468 42.173734949773)#line
617#1178#1368#400000#6####Red Eléctrica de España##79765.5180575037#####''#SRID=4326;LINESTRING(-4.7455978165974 36.8950594226576,-5.21866399718656 36.4441450479132)#line
645#1243#34764#220000#6####Red Eléctrica de España##13324.5087419604#####''#SRID=4326;LINESTRING(-3.04848349729667 42.7561523267538,-3.20538187661552 42.774958432581)#line
679#1162#1366#132000#6##50####498.498374421444#####''#SRID=4326;LINESTRING(2.04761118897554 41.5551676937279,2.05658355877025 41.5525773428326)#line
1136#1565#2311#220000#3##50##Red Eléctrica de España##9989.81979826069#####''#SRID=4326;LINESTRING(-8.26932162462088 42.2610655510642,-8.31739705475066 42.3422512974899)#line
1176#1282#36714#220000#3####Red Eléctrica de España##33242.0982252268#####''#SRID=4326;LINESTRING(-7.28124616080184 42.3443024641443,-7.65346383143271 42.4141540184335)#line
14424#31703#31705#220000#9####Red Eléctrica de España##2277.42135358313#####''#SRID=4326;LINESTRING(-0.813388826653447 41.5840720649631,-0.837071651477861 41.59313024476)#line
701#1445#34729#220000#3##50##Red Eléctrica de España##103179.100814534#####''#SRID=4326;LINESTRING(-6.08926607513608 41.4909654529067,-4.93759179958475 41.7894087855627)#line
712#1445#1972#220000#3####Red Eléctrica de España##9621.17928923399#####''#SRID=4326;LINESTRING(-6.08926607513608 41.4909654529067,-5.98776080408594 41.5278092761098)#line
718#1075#1274#400000#3#2###Red Eléctrica de España##22258.4457449198#####''#SRID=4326;LINESTRING(-0.510540470307777 39.5543650680105,-0.317128952089998 39.6598718732561)#line
877#1233#2182#400000#3#3###Red Eléctrica de España##30910.2727222735#####''#SRID=4326;LINESTRING(-6.55037924191477 42.5728096693067,-6.53299344446928 42.8372453151778)#line
1177#1282#1553#220000#3###Liña Belesar-Trives#Red Eléctrica de España##48020.6879837842#####''#SRID=4326;LINESTRING(-7.28124616080184 42.3443024641443,-7.7135022243186 42.6263828170059)#line
14426#30974#30976#220000#6#2#50####2216.12717159891#####''#SRID=4326;LINESTRING(-0.302663799123629 39.6574971863312,-0.277508725380072 39.6538278642752)#line
750#1185#36044#220000#3##50##Red Eléctrica de España##74292.8446760205#####''#SRID=4326;LINESTRING(-5.68893032559869 40.9890370481924,-6.48504550398572 41.2517153460275)#line
830#1329#1452#400000#3##50##Red Eléctrica de España##296.108168798418#####''#SRID=4326;LINESTRING(-4.85236821257533 42.8186421570342,-4.85824964349162 42.8219572478637)#line
834#1329#1452######*##344.448016595606#####''#SRID=4326;LINESTRING(-4.85236821257533 42.8186421570342,-4.85824964349162 42.8219572478637)#line
841#2066#34747#400000#6####Red Eléctrica de España##8558.89576824196#####''#SRID=4326;LINESTRING(-1.66725284581018 42.0974700200462,-1.68593959913468 42.173734949773)#line
989#1947#1370#400000#3####Red Eléctrica de España##72776.400319585#####''#SRID=4326;LINESTRING(-3.72600083965428 37.2678103945555,-2.94266807119524 37.2166282503873)#line
1028#1523#34750#220000#3######7921.9206437592#####''#SRID=4326;LINESTRING(-1.28794397187384 41.7699288997095,-1.28813078902708 41.6972157999857)#line
1048#1517#34740#220000#3######14822.2331184917#####''#SRID=4326;LINESTRING(2.54937179187758 39.5842924477709,2.68014440167427 39.6490426511599)#line
1050#992#1563#220000#3######14940.47439592#####''#SRID=4326;LINESTRING(3.03949829174176 39.6738067796922,3.15862945658846 39.5820137671381)#line
1051#992#1266#220000#3######15610.0419423889#####''#SRID=4326;LINESTRING(3.03949829174176 39.6738067796922,3.09132177658 39.8100088042124)#line
14481#2767#31201#220000#6####Red Eléctrica de España##2391.48495497713#####''#SRID=4326;LINESTRING(-4.0782117495156 43.3569013597161,-4.0800908876188 43.3404078944876)#line
1214#1455#1942#400000#3####Red Eléctrica de España##128831.193086031#####''#SRID=4326;LINESTRING(-6.48763838374114 41.255142886361,-5.01299577748653 41.5067839892847)#line
2705#1658#1897#220000#3####Red Electrica Española##6834.48910498771#####''#SRID=4326;LINESTRING(-1.13824267326611 41.4933973259158,-1.1319814406081 41.5509406883712)#line
1222#1336#1829#400000#####Red Eléctrica de España##20539.4352991451#####''#SRID=4326;LINESTRING(2.00982668796271 41.4731997685433,2.02846783858629 41.3254368463868)#line
1248#1336#34732#220000#6##50##Red Eléctrica de España##19967.2581756321#####''#SRID=4326;LINESTRING(2.00982668796271 41.4731997685433,2.19127536354571 41.4605221969949)#line
1261#1644#1922#400000#3####Red Eléctrica de España##76395.3155679671#####''#SRID=4326;LINESTRING(-6.19790211665009 38.3172718949519,-6.09791597506133 37.6361576501983)#line
1300#34735#1651#220000#3####Red Eléctrica de España##92853.5004571165#####''#SRID=4326;LINESTRING(-6.15610725492984 36.5182916688595,-5.90584084719877 37.2982473572278)#line
14524#1725#31782#220000#6######2065.14040736301#####''#SRID=4326;LINESTRING(-0.477347845961167 38.491900057906,-0.470370099852845 38.4773561936817)#line
