l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
4133#4384#4385########11456.2176045197#####''#SRID=4326;LINESTRING(33.9428485992571 38.3686984365366,33.9057375143344 38.4610579211126)#line
11#376#4325########1183.0251860562#####''#SRID=4326;LINESTRING(41.7800294437868 37.3188361722838,41.7842499943675 37.3266654706186)#line
73#991#1063#154000####Akbük RES TM - Akbük TM EİH###2599.33558306557#####''#SRID=4326;LINESTRING(27.3713600881916 37.4289311418615,27.3874922873054 37.4502732116144)#line
74#4034#4054#380000#3#3#####232.525503256635#####''#SRID=4326;LINESTRING(30.39327402183 40.863676288571,30.3876708276639 40.8658003458545)#line
111#183#4035#380000#3#3#####33519.7986570604#####''#SRID=4326;LINESTRING(32.5381022070325 39.9771169000022,32.8188991832733 39.8048194505222)#line
112#4038#4044#380000#6###İkitelli TM - Habibler TM EİH###9937.0163114166#####''#SRID=4326;LINESTRING(28.789349074853 41.068808384583,28.8525528281567 41.1249908368199)#line
117#228#1057#380000#6######2105.86685360949#####''#SRID=4326;LINESTRING(31.5243599199405 36.8892684727769,31.5299529546521 36.9079121747793)#line
185#503#711#154000#6###MMK Atakaş TM - Erzin TM EİH###26865.8905131434#####''#SRID=4326;LINESTRING(36.2099453514056 36.7787351550131,36.191559730487 36.9906116904514)#line
186#310#711#380000#3###Sugözü TES TM - Erzin TM EİH###36804.4871212505#####''#SRID=4326;LINESTRING(35.878790727026 36.8324379814247,36.191559730487 36.9906116904514)#line
187#311#711#380000#3###İsdemir TM - Erzin TM EİH###30912.3307637195#####''#SRID=4326;LINESTRING(36.2143363841029 36.7408151840612,36.191559730487 36.9906116904514)#line
192#4036#4042#380000#3###Yatağan TES TM - Yeniköy TES TM EİH###40600.2994355041#####''#SRID=4326;LINESTRING(28.0995839337025 37.3288582835617,27.8783241474426 37.1379603341725)#line
213#635#4033#154000#6###OTOSANSİT TM - Bursa DGKÇ TM EİH###16420.4717036701#####''#SRID=4326;LINESTRING(29.1569559550673 40.1869940191782,29.0730323437027 40.2934232679065)#line
224#229#539#154000####ÇİNKUR TM - Kayseri-3 OSB TM EİH###9985.50177686392#####''#SRID=4326;LINESTRING(35.2681248990876 38.7173479576246,35.3757447776894 38.7375955470068)#line
227#532#4032#380000#3######64995.6399791106#####''#SRID=4326;LINESTRING(28.0196677556741 39.6475335735246,27.6378230531168 39.1966933046463)#line
237#517#4007#154000#3###Edirne TM - Edirne ÇİM TM EİH###18147.0340718074#####''#SRID=4326;LINESTRING(26.6892785067582 41.7987062172301,26.5786789669929 41.6633184005052)#line
246#183#397#154000#6###Ankara San. TM - Sincan TM EİH###13948.132977843#####''#SRID=4326;LINESTRING(32.5381022070325 39.9771169000022,32.6750270440432 39.9799080994273)#line
247#183#473#380000#3###Temelli TM - Sincan TM EİH###25474.4455015908#####''#SRID=4326;LINESTRING(32.5381022070325 39.9771169000022,32.4075003137384 39.776028179996)#line
253#223#224#154000#6#1#####6550.35459194278#####''#SRID=4326;LINESTRING(32.7621797499819 39.9728160569254,32.8229791669169 39.9542186786752)#line
256#340#345#380000#3######10071.330806005#####''#SRID=4326;LINESTRING(37.0258212356887 38.3496040804258,36.9118099387699 38.3544742488174)#line
265#253#345#380000#6######5926.46253286885#####''#SRID=4326;LINESTRING(36.9827140537652 38.3561387550932,36.9118099387699 38.3544742488174)#line
283#266#268#66000####Yüreğir TM - İncirlik TM EİH###10631.1663744989#####''#SRID=4326;LINESTRING(35.4410186735269 36.9761061312933,35.349097079621 37.0140805549381)#line
289#267#488#154000#6######22870.9663221111#####''#SRID=4326;LINESTRING(35.1909002824572 37.0527312184585,35.2781830067351 37.195783931642)#line
311#275#282#154000#2###Fevzipaşa TM - TCDD Fevzipaşa TM EİH###5272.47676894079#####''#SRID=4326;LINESTRING(36.6975102499823 37.1380863626008,36.6564549111876 37.1025341619837)#line
341#375#4293#154000#3######253.541030760888#####''#SRID=4326;LINESTRING(40.1423961754052 38.024101730421,40.1463897884286 38.0234663619307)#line
