l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
7895#3487#4034#380000;380000#3;3###Adapazarı-1 DGKÇ EİH;Adapazarı-1 DGKÇ EİH###4548.73332769311#####''#SRID=4326;LINESTRING(30.3926006657985 40.8214765506606,30.3935175571446 40.8624314451451)#line
3356#1024#4047#154000#######902.687427182882#####''#SRID=4326;LINESTRING(28.9539269977943 40.2371986731938,28.9653524205157 40.2329245563441)#line
74#4034#4054#380000#3#3#####232.525503256635#####''#SRID=4326;LINESTRING(30.39327402183 40.863676288571,30.3876708276639 40.8658003458545)#line
111#183#4035#380000#3#3#####33519.7986570604#####''#SRID=4326;LINESTRING(32.5381022070325 39.9771169000022,32.8188991832733 39.8048194505222)#line
112#4038#4044#380000#6###İkitelli TM - Habibler TM EİH###9937.0163114166#####''#SRID=4326;LINESTRING(28.789349074853 41.068808384583,28.8525528281567 41.1249908368199)#line
117#228#1057#380000#6######2105.86685360949#####''#SRID=4326;LINESTRING(31.5243599199405 36.8892684727769,31.5299529546521 36.9079121747793)#line
186#310#711#380000#3###Sugözü TES TM - Erzin TM EİH###36804.4871212505#####''#SRID=4326;LINESTRING(35.878790727026 36.8324379814247,36.191559730487 36.9906116904514)#line
187#311#711#380000#3###İsdemir TM - Erzin TM EİH###30912.3307637195#####''#SRID=4326;LINESTRING(36.2143363841029 36.7408151840612,36.191559730487 36.9906116904514)#line
192#4036#4042#380000#3###Yatağan TES TM - Yeniköy TES TM EİH###40600.2994355041#####''#SRID=4326;LINESTRING(28.0995839337025 37.3288582835617,27.8783241474426 37.1379603341725)#line
227#532#4032#380000#3######64995.6399791106#####''#SRID=4326;LINESTRING(28.0196677556741 39.6475335735246,27.6378230531168 39.1966933046463)#line
247#183#473#380000#3###Temelli TM - Sincan TM EİH###25474.4455015908#####''#SRID=4326;LINESTRING(32.5381022070325 39.9771169000022,32.4075003137384 39.776028179996)#line
256#340#345#380000#3######10071.330806005#####''#SRID=4326;LINESTRING(37.0258212356887 38.3496040804258,36.9118099387699 38.3544742488174)#line
265#253#345#380000#6######5926.46253286885#####''#SRID=4326;LINESTRING(36.9827140537652 38.3561387550932,36.9118099387699 38.3544742488174)#line
341#375#4293#154000#3######253.541030760888#####''#SRID=4326;LINESTRING(40.1423961754052 38.024101730421,40.1463897884286 38.0234663619307)#line
2789#4302#4502#####hhhh###2120.58074120913#####''#SRID=4326;LINESTRING(32.8451211404022 39.7878800194374,32.8276135575496 39.8007310535083)#line
424#257#711#380000#2###Andırın TM - Erzin TM EİH###72733.0732052205#####''#SRID=4326;LINESTRING(36.3612470778906 37.5978849795031,36.191559730487 36.9906116904514)#line
425#310#797#380000#3###Sugözü TES TM - Adana TM EİH###46473.9321644628#####''#SRID=4326;LINESTRING(35.878790727026 36.8324379814247,35.5110508629917 37.1061460814865)#line
470#319#411#380000#####TEİAŞ##615.962033322782#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,26.9564708895418 38.7480483115657)#line
471#319#411#380000#####TEİAŞ##591.689342151279#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,26.9564708895418 38.7480483115657)#line
550#253#340#154000#######4051.15159463481#####''#SRID=4326;LINESTRING(36.9827140537652 38.3561387550932,37.0258212356887 38.3496040804258)#line
695#627#4050#380000#######3204.6333733786#####''#SRID=4326;LINESTRING(27.3140398714771 38.6165871539505,27.351109313858 38.6134435164319)#line
849#319#408#380000#3###Işıklar TM - Aliağa-2 TM EİH#TEİAŞ##46328.1807349681#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,27.2422142832044 38.4186463177372)#line
6282#3425#4045#380000#6###Germencik TM EİH###10688.1984008993#####''#SRID=4326;LINESTRING(27.5158375067332 37.8251436620583,27.6030167581211 37.8571022274717)#line
970#4048#4058#380000#3###Hamitabat DGKÇ - Babaeski TM EİH###23868.0046377009#####''#SRID=4326;LINESTRING(27.3384045391587 41.4815102048694,27.1153573514001 41.4240900863731)#line
983#449#569#380000#######2293.08189949788#####''#SRID=4326;LINESTRING(31.8524904622018 37.4409600478435,31.8627699756226 37.4595648364813)#line
984#449#569#380000#######2205.16230043337#####''#SRID=4326;LINESTRING(31.8524904622018 37.4409600478435,31.8627699756226 37.4595648364813)#line
1189#408#4050#380000#2###Manisa OSB TM - Işıklar TM EİH###26671.913126756#####''#SRID=4326;LINESTRING(27.2422142832044 38.4186463177372,27.351109313858 38.6134435164319)#line
1253#386#4055#380000#3###Çolakoğlu TM - Tepeören TM EİH###18526.8148617362#####''#SRID=4326;LINESTRING(29.3993810381285 40.8929546935048,29.5282886241249 40.7811932368044)#line
1581#797#1006#380000####Yedigöze HES TM - Adana TM EİH###35808.5798842417#####''#SRID=4326;LINESTRING(35.5110508629917 37.1061460814865,35.4442723541313 37.399761726766)#line
1619#449#569#380000#######2378.26542530304#####''#SRID=4326;LINESTRING(31.8524904622018 37.4409600478435,31.8627699756226 37.4595648364813)#line
1655#582#4068#380000#2###Hasan Uğurlu HES TM - Çarşamba TM EİH###18474.8233651176#####''#SRID=4326;LINESTRING(36.6471260417093 40.9391874136428,36.6706863071936 41.09594542168)#line
1709#319#4517#154000#######978.845995910264#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,26.9539072934788 38.7477028358675)#line
2099#1024#4047#154000#######974.950832553517#####''#SRID=4326;LINESTRING(28.9539269977943 40.2371986731938,28.9653524205157 40.2329245563441)#line
2558#582#4068#380000#2###Hasan Uğurlu HES TM - Çarşamba TM EİH###18450.7810600619#####''#SRID=4326;LINESTRING(36.6471260417093 40.9391874136428,36.6706863071936 41.09594542168)#line
2560#4038#4080#154000#6###Ambarlı TM - İkitelli TM EİH###14638.1699135566#####''#SRID=4326;LINESTRING(28.789349074853 41.068808384583,28.6921817355865 40.9831729735039)#line
2641#212#4069#380000#######6517.94787670308#####''#SRID=4326;LINESTRING(38.7536377774556 38.8073576354518,38.6778439612335 38.8152653100495)#line
6325#587#3550#380000#3###Habibler TM - UNİMAR TM EİH###510.086975288057#####''#SRID=4326;LINESTRING(27.9727565437074 41.0084813600599,27.9709542130617 41.0138557589939)#line
3425#747#4032#380000#3###Soma RES 380kV TM - Soma-B TES TM###21233.9566529273#####''#SRID=4326;LINESTRING(27.7947481817038 39.3008047554127,27.6378230531168 39.1966933046463)#line
3709#212#4069#380000#######6607.01731580508#####''#SRID=4326;LINESTRING(38.7536377774556 38.8073576354518,38.6778439612335 38.8152653100495)#line
3710#212#4069#380000#######6555.46566114974#####''#SRID=4326;LINESTRING(38.7536377774556 38.8073576354518,38.6778439612335 38.8152653100495)#line
4248#249#386#380000;380000#3;3#3;3#####20381.8164667402#####''#SRID=4326;LINESTRING(29.2421230439306 40.9962027983155,29.3993810381285 40.8929546935048)#line
4250#681#4035#380000;380000;380000;380000;380000;380000#3;3;3;3;3;3#3;3;3;3;3;3##Gökçekaya HES TM - Sincan TM EİH;Gökçekaya HES TM - Sincan TM EİH;Gökçekaya HES TM - Sincan TM EİH;Gökçekaya HES TM - Sincan TM EİH;Gökçekaya HES TM - Sincan TM EİH;Gökçekaya HES TM - Sincan TM EİH###167620.746748163#####''#SRID=4326;LINESTRING(31.0217643915051 40.035037629175,32.8188991832733 39.8048194505222)#line
4253#581#183#380000;380000;380000;380000;380000#2;2;2;2;2#3;3;3##Çayırhan TES TM - Sincan TM EİH;Çayırhan TES TM - Sincan TM EİH;Çayırhan TES TM - Sincan TM EİH;Çayırhan TES TM - Sincan TM EİH;Çayırhan TES TM - Sincan TM EİH###78136.9410271321#####''#SRID=4326;LINESTRING(31.694328640297 40.0990744785477,32.5381022070325 39.9771169000022)#line
6507#589#3550#380000#6###KAPTAN TM EİH###704.349914273728#####''#SRID=4326;LINESTRING(27.962331291453 41.0174985545841,27.9709542130617 41.0138557589939)#line
6549#3392#3393#380000#3######69.7935127539233#####''#SRID=4326;LINESTRING(29.2702566889291 41.0124140780567,29.2694669799629 41.0121808330914)#line
7049#249#3393#380000#6###Paşaköy TM EİH###2804.70031287418#####''#SRID=4326;LINESTRING(29.2421230439306 40.9962027983155,29.2694669799629 41.0121808330914)#line
6618#483#3433#154000#6######1121.34546312297#####''#SRID=4326;LINESTRING(29.446551146189 39.6182485018042,29.4613520653848 39.6162825324456)#line
4263#246#393#380000;380000;380000;380000;380000;380000#3;3;3;3;3;3###Kayabaşı TM - DEÇEKO EİH;Kayabaşı TM - DEÇEKO EİH;Kayabaşı TM - DEÇEKO EİH###168087.150407608#####''#SRID=4326;LINESTRING(37.0720130657112 39.5848631913601,35.7377114673774 40.5712973723538)#line
4264#448#390#380000;380000;380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3;3;3###Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH;Yeşihisar TM - Konya-4 TM EİH###223089.922129614#####''#SRID=4326;LINESTRING(32.7506015123887 37.8415580460902,35.1338347001554 38.2433989305776)#line
6640#843#3655#380000#######822.723562915405#####''#SRID=4326;LINESTRING(26.9457031283967 38.7392027097222,26.9527944173932 38.7457238606978)#line
4266#390#537#380000;380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3;3###Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH;Yeşihisar TM - Göksun SKM EİH##3Ph-139#140163.975477317#####''#SRID=4326;LINESTRING(35.1338347001554 38.2433989305776,36.605141215213 38.0906311040606)#line
4272#681#4076#380000;380000;380000;380000;380000;380000#3;2;6;3;2;2#2;3;3##Eskişehir 2 TM - Gökçekaya TM EİH;Seyitömer TES TM - Gökçekaya TM EİH;Eskişehir 2 TM - Gökçekaya TM EİH;Eskişehir 2 TM - Gökçekaya TM EİH;Seyitömer TES TM - Gökçekaya TM EİH;Seyitömer TES TM - Gökçekaya TM EİH###60768.1697528381#####''#SRID=4326;LINESTRING(31.0217643915051 40.035037629175,30.4328663781128 39.8210531933031)#line
4284#174#1091#380000;380000;380000#3;3;3###Birecik HES TM - Atatürk HES TM EİH;Birecik HES TM - Atatürk HES TM EİH;Birecik HES TM - Atatürk HES TM EİH###61118.977610139#####''#SRID=4326;LINESTRING(37.8903427792516 37.0505260494391,38.3083690895773 37.4567960804857)#line
4286#264#711#380000;380000;380000;380000;380000;380000;380000#3;3;3;3;3;3;3###Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH;Gaziantep-2 TM - Erzin TM EİH###119296.797856438#####''#SRID=4326;LINESTRING(37.2863081682249 37.1669909205237,36.191559730487 36.9906116904514)#line
4290#281#1091#380000;380000#3;3###Şanlıurfa-2 TM - Atatürk HES TM EİH;Şanlıurfa-2 TM - Atatürk HES TM EİH###63538.8419240459#####''#SRID=4326;LINESTRING(38.8507895743462 37.1593541832498,38.3083690895773 37.4567960804857)#line
4295#4019#4036#380000;380000;380000#3;3;3###Denizli OSB TM - Yatağan TM EİH;Denizli OSB TM - Yatağan TES TM EİH;Denizli OSB TM - Yatağan TES TM EİH###119526.284067662#####''#SRID=4326;LINESTRING(29.2384332445929 37.7996764381135,28.0995839337025 37.3288582835617)#line
4296#4036#4070#380000;380000#3;3###Yatağan TES TM - Kemerköy TM EİH;Yatağan TES TM - Kemerköy TM EİH###47322.2676834013#####''#SRID=4326;LINESTRING(28.0995839337025 37.3288582835617,27.9010093782174 37.0351789621954)#line
4302#246#527#380000;380000#3;3###DEÇEKO - Kangal TS EİH;DEÇEKO - Kangal TS EİH###61171.1489503444#####''#SRID=4326;LINESTRING(37.0720130657112 39.5848631913601,37.2962218229876 39.0795730823484)#line
6654#3412#4044#380000#12#1##Habibler TM - Zekeriyaköy TM EİH###19015.625651505#####''#SRID=4326;LINESTRING(29.0374239674057 41.1910600879998,28.8525528281567 41.1249908368199)#line
6767#765#3625#380000####Hilvan TM EİH###1109.21720235208#####''#SRID=4326;LINESTRING(38.976589485137 37.5660321328867,38.9688288105439 37.5756402616978)#line
7043#697#3703#380000#6###Gaziantep OSB TM EİH###776.628331897088#####''#SRID=4326;LINESTRING(37.403600491034 37.1611567489416,37.4112106543308 37.1671086837605)#line
4299#3399#3553#380000;380000;380000;380000#3;3;3;3###Varsak TM - Denizli OSB TM EİH;Varsak TM - Denizli OSB TM EİH;Varsak TM - Denizli OSB TM EİH;Varsak TM - Denizli OSB TM EİH###148059.617874828#####''#SRID=4326;LINESTRING(30.6331838719303 37.1548944937968,29.2656630638922 37.798954589089)#line
4689#822#995#380000;380000####Karaburun RES TM EİH;Karaburun RES TM EİH###36289.7905218643#####''#SRID=4326;LINESTRING(26.4418671030277 38.5622690612312,26.45851168512 38.2860746145077)#line
4301#393#4068#380000;380000;380000;380000;380000#2;2;2;2;2###Kayabaşı TM - Çarşamba TM EİH;Kayabaşı TM - Çarşamba TM EİH;Kayabaşı TM - Çarşamba TM EİH;Kayabaşı TM - Çarşamba TM EİH;Kayabaşı TM - Çarşamba TM EİH###125842.140212162#####''#SRID=4326;LINESTRING(35.7377114673774 40.5712973723538,36.6706863071936 41.09594542168)#line
4304#3433#4012#380000;380000#2;2###TUTES ŞALT TM - Seyitömer TM EİH;TUTES ŞALT TM - Seyitömer TM EİH###42787.926573471#####''#SRID=4326;LINESTRING(29.4613520653848 39.6162825324456,29.883780747709 39.5741571738646)#line
4305#483#4047#380000;380000;380000#3;3;3######87600.9948989065#####''#SRID=4326;LINESTRING(29.446551146189 39.6182485018042,28.9653524205157 40.2329245563441)#line
4306#4046#4308#380000;380000;380000;380000#2;2;2;2###Afyon-2 TM - Seyitömer TES TM EİH;Afyon-2 TM - Seyitömer TES TM EİH;Afyon-2 TM - Seyitömer TES TM EİH;Afyon-2 TM - Seyitömer TES TM EİH###107457.20585795#####''#SRID=4326;LINESTRING(30.5805364176601 38.7915467568364,29.9125310632092 39.562153986618)#line
4307#4076#4308#380000;380000;380000#2;2;6#3##Seyitömer TES TM - Gökçekaya TM EİH;Seyitömer TES TM - Gökçekaya TM EİH;Seyitömer TES TM - Eskişehir 2 TM EİH###54517.0588005332#####''#SRID=4326;LINESTRING(30.4328663781128 39.8210531933031,29.9125310632092 39.562153986618)#line
4315#319#4032#380000;380000#3;3###Soma-B TES TM - Aliağa-2 TM EİH;Soma-B - Aliağa-2 TM EİH###82066.0951292589#####''#SRID=4326;LINESTRING(26.9602433063062 38.755998940134,27.6378230531168 39.1966933046463)#line
