l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
9913#5614#7981#345000#3##60##Consolidated Edison##1822.18677968556#####''#SRID=4326;LINESTRING(-73.8723125788579 40.8584628600406,-73.8637327368615 40.8425202759904)#line
10250#5658#6655#230000#3##60####562.30663686137#####''#SRID=4326;LINESTRING(-75.5742899113975 40.4412552455104,-75.5698184572393 40.443469928839)#line
475#443#2329#500000#3#2##Fort Martin - Ronco 500kV transmission line###22459.9084499017#####''#SRID=4326;LINESTRING(-79.9335696422882 39.7180233393065,-79.9162942481273 39.8607713791955)#line
294#1231#7902#230000#3##60####35361.0132905282#####''#SRID=4326;LINESTRING(-76.4310573187829 41.7593953303691,-76.051024008309 41.658396992871)#line
587#736#7812#230000####West Hempfield - Manor 230kV transmission line###14166.6272420236#####''#SRID=4326;LINESTRING(-76.4665878891891 40.0259785115536,-76.3890892467527 39.9277103756917)#line
415#222#573#500000#######1381.84787068913#####''#SRID=4326;LINESTRING(-76.2783443382297 39.7613284572832,-76.2672219739536 39.7527433578375)#line
1073#8917#8918#115000#3####VELCO#K-30#22947.1164495557#####''#SRID=4326;LINESTRING(-73.1193821717318 43.8087552354046,-73.1225455391222 44.0019734374885)#line
1741#313#1103#345000#3###Scovill Rock - Kleen 345kV transmission line#CL&P#3533#5813.37104980767#####''#SRID=4326;LINESTRING(-72.5697085513121 41.5103687198201,-72.5968939782067 41.5541582901979)#line
17042#560#702########4575.44785696292#####''#SRID=4326;LINESTRING(-74.2521729512841 40.5607020834519,-74.2948002407895 40.5639956906686)#line
21898#1655#8748#500000#######373.323184097913#####''#SRID=4326;LINESTRING(-79.0590861248512 40.3898090771948,-79.0538183387672 40.3912923921557)#line
573#898#1655#500000#######196194.556762714#####''#SRID=4326;LINESTRING(-77.1709790523653 40.429126502757,-79.0590861248512 40.3898090771948)#line
1124#100#575#230000#3##60####28368.9395243076#####''#SRID=4326;LINESTRING(-75.6296355592164 40.3552302853771,-75.913789269319 40.3074248439851)#line
2285#511#557#500000####500kV transmission line##5027#7118.08907039237#####''#SRID=4326;LINESTRING(-75.5830940761257 40.4818754391017,-75.5082748867259 40.4571629817945)#line
10778#6643#1782#230000#3##60####12763.9795007063#####''#SRID=4326;LINESTRING(-75.1667514859456 40.9821793684578,-75.0598085984981 41.0604893471182)#line
